I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
1e-6,4.7451012300152434e-7,0,11.588281993436022,7.9929511311065635,7.72159711605447e-6,0,8.326053236934999e-7,blanket_1
1.278431691628975e-6,6.066284913921273e-7,-5.1264106404325105e-6,11.588281993436022,7.992947338366546,9.871534463154932e-6,1.5437958976089174e-6,1.0644292907513336e-6,blanket_1
1.6343840372712504e-6,7.755267579848433e-7,-9.583782482835979e-4,11.588219622174309,7.992866820454207,1.2620055068719005e-5,3.5174334985189565e-6,1.3608104131793592e-6,blanket_1
2.0894380006976545e-6,9.914454836030975e-7,-0.002177031735628443,11.588139885572568,7.992763884962488,1.61337984403612e-5,6.040588870375813e-6,1.7397161691476285e-6,blanket_1
2.671181037320572e-6,1.2674721396393222e-6,-0.0037349709162914912,11.588037949296279,7.992632291148235,2.0625783794232988e-5,9.266254684161031e-6,2.22412471485867e-6,blanket_1
3.414877935617055e-6,1.6203351337573972e-6,-0.005726642819914307,11.587907633501509,7.992464061375167,2.636831161933688e-5,1.3390013011347266e-5,2.8434121934624904e-6,blanket_1
4.3656058654866236e-6,2.0714155935415945e-6,-0.008272777085605032,11.587741038551032,7.992248997991406,3.3709449660768634e-5,1.8661887559188085e-5,3.6351341446212833e-6,blanket_1
5.580982238257868e-6,2.6480396018540047e-6,-0.011527694380997211,11.587528066743896,7.991974066003303,4.3094096355677185e-5,2.5401491984903764e-5,4.647302896845846e-6,blanket_1
7.134649380135249e-6,3.385128167869679e-6,-0.015688643605549224,11.587255811249634,7.991622604379022,5.5090888077701746e-5,3.401738946895449e-5,5.941299022147524e-6,blanket_1
9.12072501317507e-6,4.327303226791864e-6,-0.021007728853883467,11.586907775509339,7.991173318594339,7.042656395804066e-5,4.503183191288529e-5,7.595593365271303e-6,blanket_1
1.1659484632164479e-5,5.531574497537195e-6,-0.027807140833180366,11.586462876286982,7.990598994046891,9.002984291037251e-5,5.9112369771444e-5,9.71050528469345e-6,blanket_1
1.4904614162722782e-5,7.070765426754151e-6,-0.03649860237232572,11.585894170764668,7.989864853494842,1.1508742573473428e-4,7.711223431481374e-5,1.241428553112619e-5,blanket_1
1.9052462580073506e-5,9.037878288935454e-6,-0.04760818432214542,11.58516723188048,7.988926460835004,1.47115440111947e-4,1.0012191651466895e-4,1.5870892436725037e-5,blanket_1
2.435383903454877e-5,1.155165060781303e-5,-0.06180795930673666,11.584238075656705,7.987727047242446,1.880505332538868e-4,1.2953503008513386e-4,2.0289932640779907e-5,blanket_1
3.112904287014767e-5,1.4763619393262943e-5,-0.07995635176658578,11.583050518535128,7.986194102651756,2.403659276514374e-4,1.6713238687769816e-4,2.5939368621712998e-5,blanket_1
3.978699391458456e-5,1.8867088237063202e-5,-0.10314953148230499,11.581532810514549,7.9842350342498145,3.072191374669528e-4,2.1518927555712425e-4,3.3161762734599035e-5,blanket_1
