I,daily_new_cases,aggregate_consumption_deviation,total_contacts,weighted_labor_S,weighted_labor_I,weighted_labor_R,prob_contact_I_weighted,type
1e-6,4.7305296966707464e-7,0,15.05818389738976,7.9929511311065635,7.721597116030645e-6,0,9.290448111235606e-7,blanket_1
1.2769745382945254e-6,6.040763117689527e-7,-5.101117395156507e-6,15.05818389738976,7.992947350013513,9.860282912139573e-6,1.5437958976089135e-6,1.1863668246756387e-6,blanket_1
1.6306593374423067e-6,7.713818586250742e-7,-9.533586908694325e-4,15.058075505879827,7.992867248518517,1.2591294437223025e-5,3.515183951179038e-6,1.5149677224191239e-6,blanket_1
2.082296980661908e-6,9.85018804914438e-7,-0.00216424190295772,15.057937094494957,7.992764962418439,1.60786583605985e-5,6.0325891467201405e-6,1.934581930697626e-6,blanket_1
2.6590106981792003e-6,1.2578139630061376e-6,-0.003710475897389376,15.05776035014007,7.992634348440434,2.0531809338555566e-5,9.247230683069421e-6,2.470415809837153e-6,blanket_1
3.3954311618627767e-6,1.6061429704694733e-6,-0.005684917858084226,15.05753465838145,7.99246756270274,2.621815146712102e-5,1.3352200490616681e-5,3.1546555511542666e-6,blanket_1
4.335772575733298e-6,2.050910721931641e-6,-0.00820612581599045,15.05724646681519,7.992254590298641,3.34790890165485e-5,1.8594053188913904e-5,4.028399230411794e-6,blanket_1
5.536481688635892e-6,2.618801762215832e-6,-0.011425465206660324,15.056878472607746,7.991982644979142,4.2750481039930066e-5,2.52876011042962e-5,5.144123213133889e-6,blanket_1
7.0696170798965935e-6,3.343874405097233e-6,-0.015536176129027357,15.056408585828486,7.991635403204232,5.45887348555752e-5,3.383479882239916e-5,6.568830414255711e-6,blanket_1
9.02715880839891e-6,4.269592137370019e-6,-0.02078493952824001,15.05580860699644,7.991192027093738,6.970408342089161e-5,4.474884466800944e-5,8.388068451686343e-6,blanket_1
1.1526502562386049e-5,5.45141074661874e-6,-0.027486626539363623,15.05504254053772,7.990625918471976,8.900300894365344e-5,5.868493540347985e-5,1.0711057297513444e-5,blanket_1
1.4717460600166843e-5,6.960070730871829e-6,-0.03604309976626974,15.054064444699002,7.989903130607926,1.1364230132556549e-4,7.647950277307005e-5,1.3677231549352344e-5,blanket_1
1.8791177396460653e-5,8.885783231713892e-6,-0.046967167780098684,15.052815691792052,7.988980344605039,1.4509790119136837e-4,9.920025807082845e-5,1.7464585576408825e-5,blanket_1
2.3991474965661976e-5,1.1343545416208531e-5,-0.060913085943370415,15.051221479135144,7.987802292732754,1.8525250390423904e-4,1.2821000064672578e-4,2.230031508227189e-5,blanket_1
3.062927583272405e-5,1.4479879345166759e-5,-0.07871536102681542,15.049186389162262,7.986298480194948,2.3650692793617158e-4,1.6524794127630168e-4,2.8474381657831765e-5,blanket_1
3.910091544273253e-5,1.8481358075356148e-5,-0.1014380689295491,15.046588745122328,7.984379018632522,3.0192151591693013e-4,2.125332916535929e-4,3.635679446511997e-5,blanket_1
4.99113552501522e-5,2.3585364496743012e-5,-0.13043745000037577,15.043273444681386,7.981929337710676,3.8539537675703276e-4,2.728971245068364e-4,4.6419613409503846e-5,blanket_1
6.370354666935136e-5,3.009362110190575e-5,-0.1674412201314257,15.039042875687638,7.978803484155509,4.918931222434402e-4,3.499500699861225e-4,5.9264940473495604e-5,blanket_1
8.12954757902175e-5,3.8389128474540415e-5,-0.21464883905151222,15.03364542485184,7.974815649622937,6.277309114088237e-4,4.482953439974051e-4,7.566049088943255e-5,blanket_1
1.0372673513843372e-4,4.8957247451722266e-5,-0.27485791113067704,15.026760980628943,7.969729489686273,8.009360589014147e-4,5.737989660165075e-4,9.658473464449961e-5,blanket_1
1.3231680742470736e-4,6.241173634057224e-5,-0.3516229390809533,15.017982707776028,7.963244707609141,0.0010216970786149772,7.339318741955879e-4,1.2328408176212271e-4,blanket_1
1.6873757467788435e-4,7.952657707029277e-5,-0.44945374974378893,15.00679423852793,7.954980283200706,0.0013029235700019758,9.382020186825598e-4,1.5734515879427412e-4,blanket_1
