rhoc,phi,PV_losses_eqm,PV_losses_planner,cases_per_100k_eqm,cases_per_100k_planner,economic_loss_ratio,cases_per_100k_ratio,productivity_loss,economic_loss_ratio_ADJUSTED
0,0.1,4465.262236642523,777.0542308038076,43644.7960295677,43644.08838380946,0.8259779180655507,1.0000162140116666,90,0.9523553261674709
0,0.2,4722.006593823899,843.5048495334968,47335.21045416689,47332.1640415133,0.8213672868147304,1.0000643624206769,80,0.9470392527801864
0,0.3,4824.736884828739,863.7466021796747,49234.63078210345,49232.43978864866,0.8209753976645434,1.0000445030444194,70,0.9465874032678873
0,0.4,4871.232879605709,869.1520920557107,50466.472503447345,50460.099700174964,0.8215745143915061,1.0001262939096485,60,0.9472781868753416
0,0.5,4889.013467069351,866.5874473697515,51356.960203540046,51344.96190948941,0.8227479933923735,1.0002336800652767,50,0.9486312121223591
0,0.6,4889.492679706215,848.167415619915,52043.204363312434,52043.69753845625,0.8265326341237356,0.9999905238258014,40,0.9529949156540279
0,0.7,4878.448622685709,842.1803715558817,52594.95632460802,52588.03283226208,0.8273671741381914,1.000131655283019,30.000000000000004,0.9539571431062197
0,0.8,4859.193397724638,824.4477752527131,53052.20316134709,53045.17276981353,0.8303323807529932,1.0001325359343076,19.999999999999996,0.9573760363369337
0,0.9,4833.795242232043,799.5782540863412,53439.840389488956,53436.14962402371,0.8345858245917075,1.0000690687014542,9.999999999999998,0.9622802714330011
1,0.1,4508.7730028525475,790.0164796746483,44187.009045769984,44185.72881218739,0.8247823788922548,1.000028973915719,90,0.9509768654672178
1,0.2,4801.158863190895,869.1384042098671,48405.48307737935,48400.1608066417,0.8189732043916935,1.0001099639060893,80,0.9442788676694042
1,0.3,4936.14456876268,899.1649893764,50822.72436615907,50826.38723916024,0.8178406290880194,0.9999279336344734,70,0.942973004523249
1,0.4,5012.3621870360375,915.3178201788654,52564.37748500795,52564.54005326881,0.8173879328700067,0.9999969072637049,60,0.9424510442565992
1,0.5,5057.638187987519,920.7455794366824,53956.961345863776,53960.579849091904,0.8179494963432614,0.9999329417282348,50,0.9430985288358332
1,0.6,5083.5477690038715,926.9072781082148,55137.55781816787,55129.82163407693,0.8176652762545313,1.0001403266664328,40,0.9427708221146417
1,0.7,5095.974854865294,921.1508748310788,56175.84911868782,56169.63499399956,0.8192395172531854,1.0001106313880963,30.000000000000004,0.9445859272971757
1,0.8,5098.311673993018,913.0460520179641,57111.7687572718,57108.19438807603,0.8209120763103792,1.0000625894275605,19.999999999999996,0.9465143935329059
1,0.9,5092.692874318225,902.1904598150163,57970.18274397947,57967.259012755014,0.8228460890770297,1.000050437631074,9.999999999999998,0.9487443167777175
2,0.1,4550.5833546070135,800.6096747800459,44712.99217256762,44714.183168901,0.824064386389163,0.9999733642381684,90,0.9501490176888302
2,0.2,4874.359811143063,886.8115535864963,49415.36292845255,49421.760522761324,0.8180660460150695,0.9998705510641244,80,0.9432329110006367
2,0.3,5035.7279884574045,932.9356602532129,52286.47892449288,52289.64963267172,0.814736685064874,0.9999393626042418,70,0.9393941465926503
2,0.4,5134.627689909038,961.7572191774645,54458.445827797696,54456.97208883454,0.8126919268036545,1.0000270624477754,60,0.9370365334189737
2,0.5,5199.462152840665,976.5762950184655,56260.361007117775,56249.38017232067,0.8121774394520932,1.0001952169919643,50,0.936443327766875
2,0.6,5242.145910700084,987.9270186014871,57830.53052463586,57820.55937072034,0.8115414878885829,1.0001724499732283,40,0.93571007346861
2,0.7,5268.8000099606215,989.3488553695817,59239.26879150182,59237.976694844816,0.8122250126216166,1.0000218119647073,30.000000000000004,0.9364981797918353
2,0.8,5283.004513366601,990.4607854532294,60526.88549661349,60528.19819086343,0.8125194133476034,0.9999783126825318,19.999999999999996,0.9368376248221306
2,0.9,5287.057013859099,992.1736676466779,61718.54109371127,61710.508781209996,0.8123391397055361,1.0001301611777298,9.999999999999998,0.9366297687046299
3,0.1,4590.800834383612,811.9772902851164,45223.66250774878,45225.615573220784,0.8231294888238956,0.9999568150605083,90,0.949071077641972
3,0.2,4942.386532308793,913.209681014361,50372.09786499781,50370.47419956327,0.815229004238209,1.000032234467917,80,0.9399617922604644
3,0.3,5125.688458438411,965.7626779581503,53647.410298306655,53646.26197119129,0.8115838124402163,1.0000214055383017,70,0.9357588738194355
3,0.4,5242.3630433355165,1002.3343091319024,56192.24861365888,56185.637613001774,0.8088010500520095,1.0001176635335642,60,0.9325503393975058
3,0.5,5321.541880422087,1022.4788145774202,58339.34263687046,58340.75621956745,0.8078604213678912,0.9999757702369907,50,0.931465791351277
3,0.6,5375.547935794471,1037.7427072641144,60228.15501991446,60231.21229543752,0.8069512690317507,0.9999492410096602,40,0.93041753564046
3,0.7,5410.798340151301,1046.6994148385222,61929.4032619262,61926.591713740076,0.8065536083517661,1.000045401306746,30.000000000000004,0.9299590315348326
3,0.8,5431.133967044786,1059.4611000991144,63483.800940948684,63475.12702930402,0.8049281961137863,1.000136650559843,19.999999999999996,0.9280849257407173
3,0.9,5439.10386783389,1058.8529481118312,64917.19844728202,64911.9563739779,0.8053258452419448,1.0000807566679075,9.999999999999998,0.9285434165270504
4,0.1,4629.52490331039,825.6501117407004,45719.877020811975,45719.00654334978,0.8216555415545317,1.0000190397282882,90,0.947371611467675
4,0.2,5005.887833226711,934.2382844247257,51281.83911560092,51280.75421441721,0.8133721098935348,1.0000211561081798,80,0.9378207868163693
4,0.3,5207.681651129354,NA,54921.97069379029,NA,NA,NA,70,NA
4,0.4,5338.520983655507,1033.6265652037193,57795.78963008235,57801.93920012756,0.8063833469291803,0.9998936096239969,60,0.9297627195401728
4,0.5,5428.28623432379,1068.700950550793,60239.002439476055,60227.70742709442,0.8031236923739851,1.0001875384746348,50,0.9260043268407931
