"","time","S","I","R","D","labor_S","labor_I","labor_R","consumption_S","consumption_I","consumption_R","aggregate_labor_supply","aggregate_consumption","weekly_new_cases","newly_recovered","newly_dead","newly_infected_per_I","prob_infection_S","infection_growth_rate","Reff","consumption_contacts","labor_contacts","other_contacts","total_cases","aggregate_hours_deviation","aggregate_consumption_deviation","qre_times","l_SS","l_SI","l_SR","l_IS","l_II","l_IR","l_RS","l_RI","l_RR","infolag","type"
"1",1,0.999999,0.000001,0,0,7.99295912406569,7.72159711603065,7.99325794701061,158.780134587366,131.219096677969,158.786070705226,7.99295885270368,158.780107026328,0.000000473052969667075,0.000000193137254901961,0.00000000294117647058824,0.473052969667075,0.000000473053442720517,0.276974538294525,2.41257014530208,4.26297871765932,7.24666117973044,3.548544,0.000000473052969667075,0,0,NA,1,0,0,0,1,0,0,0,1,0,"eqm"
"2",2,0.99999852694703,0.00000127697453829453,0.000000193137254901961,0,7.99295912406569,7.72159711603065,7.99325794701061,158.780134587366,131.219096677969,158.786070705226,7.99295875409232,158.780098926769,0.000000604076311768953,0.000000246631356905904,0.00000000375580746557214,0.473052745887739,0.000000604077201606668,0.27697431451519,2.41256900402747,4.26297871765932,7.24666117973044,3.548544,0.00000107712928143603,-0.00000123372781990483,-0.00000510111739515651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"3",3,0.999997922875067,0.00000163065933744231,0.000000439768611807865,0.00000000375580746557214,7.99288385073685,7.72159711603069,7.99325794701061,158.778639282674,131.21909667797,158.786070705226,7.99288335499691,158.778593282379,0.000000771381858625074,0.000000314941068113858,0.00000000479605687483032,0.473049055012918,0.000000771383460884894,0.276970623640369,2.41255018056588,4.26293857125126,7.24659293462857,3.548544,0.0000018485111400611,-0.00094455267649618,-0.000953358690869432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"4",4,0.999997151500299,0.00000208229698066191,0.000000754709679921722,0.00000000855186434040246,7.9927877298719,7.72159711603074,7.99325794701061,158.776729841673,131.219096677971,158.786070705227,7.99278707366595,158.776670640718,0.000000985018804914438,0.000000402169122735683,0.00000000612440288429974,0.473044341927311,0.000000985021610748202,0.276965910554761,2.41252614382928,4.26288730598204,7.24650578851292,3.548544,0.00000283352994497554,-0.00214912951385093,-0.00216424190295772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"5",5,0.999996166493055,0.0000026590106981792,0.0000011568788026574,0.0000000146762672247022,7.99266498837717,7.7215971160308,7.99325794701061,158.774291581855,131.219096677972,158.786070705226,7.99266412748046,158.774215528727,0.00000125781396300614,0.000000513554027001277,0.00000000782061970052707,0.473038323564266,0.00000125781878486318,0.276959892191717,2.41249545017775,4.26282184281985,7.24639450732022,3.548544,0.00000409134390798168,-0.00368731065247818,-0.00371047589738938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"6",6,0.999994908697945,0.00000339543116186278,0.00000167043282965868,0.0000000224968869252293,7.99250825497644,7.72159711603089,7.99325794701061,158.771178072819,131.219096677973,158.786070705226,7.9925071330547,158.771080507669,0.00000160614297046947,0.000000655784253810753,0.00000000998656224077289,0.473030638497269,0.00000160615114787011,0.27695220712472,2.41245625633607,4.26273825035541,7.24625240802604,3.548544,0.00000569748687845115,-0.00565146971611696,-0.00568491785808423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"7",7,0.999993302585715,0.0000043357725757333,0.00000232621708346944,0.0000000324834491660022,7.9923081180972,7.72159711603099,7.99325794701061,158.767202353673,131.219096677975,158.786070705226,7.99230666344085,158.767077330975,0.00000205091072193164,0.000000837399213156334,0.0000000127522722815685,0.47302082526429,0.0000020509244578224,0.276942393891741,2.41240620884788,4.26263150900429,7.2460709578109,3.548544,0.00000774839760038279,-0.00815954735726709,-0.00820612581599045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"8",8,0.999991251725117,0.00000553648168863589,0.00000316361629662577,0.0000000452357214475707,7.99205256165183,7.72159711603113,7.99325794701061,158.762125724835,131.219096677977,158.786070705226,7.99205068306129,158.761965660445,0.00000261880176221583,0.00000106930087515811,0.0000000162837696724585,0.473008294706573,0.00000261882467241394,0.276929863334024,2.41234230300352,4.26249521008542,7.24583926252232,3.548544,0.0000103671993625986,-0.0113621208257086,-0.0114254652066603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"9",9,0.999988633005081,0.00000706961707989659,0.00000423291717178388,0.0000000615194911200292,7.99172624511586,7.72159711603131,7.99325794701061,158.755643446783,131.21909667798,158.786070705226,7.99172382673791,158.755438669243,0.00000334387440509723,0.00000136540643601925,0.0000000207929914114606,0.472992294675477,0.00000334391241533267,0.276913863302928,2.41226070284493,4.26232117185681,7.24554341397167,3.548544,0.0000137110737676959,-0.0154514240411907,-0.0155361761290274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"10",10,0.999985289263925,0.00000902715880839891,0.00000559832360780312,0.0000000823124825314898,7.99130958513994,7.72159711603153,7.99325794701061,158.747366496279,131.219096677984,158.786070705226,7.99130648002183,158.7471046771,0.00000426959213737002,0.00000174348067181822,0.0000000265504670835262,0.472971865012231,0.00000426965494713708,0.276893433639682,2.41215651156237,4.26209894970088,7.24516565729556,3.548544,0.0000179806659050659,-0.0206728535990686,-0.02078493952824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"11",11,0.999981019889032,0.000011526502562386,0.00000734180427962135,0.000000108862949615016,7.99077758431725,7.72159711603181,7.99325794701061,158.73679829983,131.219096677989,158.786070705227,7.99077360641632,158.736463731291,0.00000545141074661874,0.00000222619706351966,0.0000000339014781246649,0.472945780136995,0.00000545151421696352,0.276867348764446,2.41202347869867,4.2618152114572,7.24468332908052,3.548544,0.0000234320766516846,-0.0273396413972171,-0.0274866265393636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"12",12,0.999975568832453,0.0000147174606001668,0.00000956800134314101,0.000000142764427739681,7.99009833803914,7.72159711603218,7.99325794701061,158.723305072381,131.219096677995,158.786070705227,7.99009325241203,158.722877753944,0.00000696007073087183,0.00000284248993944399,0.0000000432866488240202,0.472912475865091,0.00000696024077768044,0.276834044492542,2.41185362691196,4.26145294106634,7.24406750363266,3.548544,0.0000303921473825564,-0.0358515581584062,-0.0360430997662697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"13",13,0.999968609339068,0.0000187911773964607,0.000012410491282585,0.000000186051076563701,7.98923113185061,7.72159711603264,7.99325794701061,158.706078021273,131.219096678003,158.786070705226,7.9892246427643,158.70553250706,0.00000888578323171389,0.00000362927641872819,0.0000000552681688131197,0.472869956162914,0.00000888606217107852,0.276791524790365,2.41163677643086,4.26099042381008,7.24328126798198,3.548544,0.0000392779306142703,-0.0467187434364802,-0.0469671677800987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"14",14,0.999959724496911,0.000023991474965662,0.0000160397677013132,0.000000241319245376821,7.98812401844633,7.72159711603323,7.99325794701061,158.684085213277,131.219096678013,158.786070705227,7.9881157552373,158.683389163274,0.0000113435454162085,0.00000463364761591707,0.0000000705631616637118,0.472815674419521,0.0000113440023016083,0.276737243046972,2.41135993953956,4.26039995402228,7.24227752511287,3.548544,0.0000506214760304789,-0.0605920480215794,-0.0609130859433704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
"15",15,0.999948382485267,0.000030629275832724,0.0000206734153172303,0.000000311882407040533,7.98671073435395,7.72159711603399,7.99325794701061,158.656010324501,131.219096678026,158.786070705226,7.98670023506416,158.655122691844,0.0000144798793451668,0.0000059156542539673,0.000000090086105390365,0.472746382390686,0.0000144806267991339,0.276667951018137,2.4110065501925,4.2596461906274,7.24099619853486,3.548544,0.0000651013553756456,-0.078301637164091,-0.0787153610268154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"eqm"
