"","compliance","type","measure","values"
"1",0,"lockdown","losses",10755
"2",0,"lockdown","casesp100k",61679
"3",0.01,"lockdown","losses",10779
"4",0.01,"lockdown","casesp100k",61679
"5",0.02,"lockdown","losses",10804
"6",0.02,"lockdown","casesp100k",61678
"7",0.03,"lockdown","losses",10829
"8",0.03,"lockdown","casesp100k",61678
"9",0.04,"lockdown","losses",10854
"10",0.04,"lockdown","casesp100k",61678
"11",0.05,"lockdown","losses",10880
"12",0.05,"lockdown","casesp100k",61677
"13",0.06,"lockdown","losses",10903
"14",0.06,"lockdown","casesp100k",61677
"15",0.07,"lockdown","losses",10923
"16",0.07,"lockdown","casesp100k",61677
"17",0.08,"lockdown","losses",10944
"18",0.08,"lockdown","casesp100k",61677
"19",0.09,"lockdown","losses",10965
"20",0.09,"lockdown","casesp100k",61676
"21",0.1,"lockdown","losses",10987
"22",0.1,"lockdown","casesp100k",61676
"23",0.11,"lockdown","losses",11008
"24",0.11,"lockdown","casesp100k",61676
"25",0.12,"lockdown","losses",11030
"26",0.12,"lockdown","casesp100k",61676
"27",0.13,"lockdown","losses",11053
"28",0.13,"lockdown","casesp100k",61675
"29",0.14,"lockdown","losses",11075
"30",0.14,"lockdown","casesp100k",61675
"31",0.15,"lockdown","losses",11096
"32",0.15,"lockdown","casesp100k",61675
"33",0.16,"lockdown","losses",11115
"34",0.16,"lockdown","casesp100k",61675
"35",0.17,"lockdown","losses",11134
"36",0.17,"lockdown","casesp100k",61674
"37",0.18,"lockdown","losses",11153
"38",0.18,"lockdown","casesp100k",61674
"39",0.19,"lockdown","losses",11173
"40",0.19,"lockdown","casesp100k",61674
"41",0.2,"lockdown","losses",11193
"42",0.2,"lockdown","casesp100k",61674
"43",0.21,"lockdown","losses",11213
"44",0.21,"lockdown","casesp100k",61673
"45",0.22,"lockdown","losses",11234
"46",0.22,"lockdown","casesp100k",61673
"47",0.23,"lockdown","losses",11252
"48",0.23,"lockdown","casesp100k",61673
"49",0.24,"lockdown","losses",11270
"50",0.24,"lockdown","casesp100k",61673
"51",0.25,"lockdown","losses",11288
"52",0.25,"lockdown","casesp100k",61672
"53",0.26,"lockdown","losses",11306
"54",0.26,"lockdown","casesp100k",61672
"55",0.27,"lockdown","losses",11324
"56",0.27,"lockdown","casesp100k",61672
"57",0.28,"lockdown","losses",11343
"58",0.28,"lockdown","casesp100k",61672
"59",0.29,"lockdown","losses",11362
"60",0.29,"lockdown","casesp100k",61671
"61",0.3,"lockdown","losses",11379
"62",0.3,"lockdown","casesp100k",61671
"63",0.31,"lockdown","losses",11395
"64",0.31,"lockdown","casesp100k",61671
"65",0.32,"lockdown","losses",11412
"66",0.32,"lockdown","casesp100k",61671
"67",0.33,"lockdown","losses",11429
"68",0.33,"lockdown","casesp100k",61671
"69",0.34,"lockdown","losses",11447
"70",0.34,"lockdown","casesp100k",61670
"71",0.35,"lockdown","losses",11464
"72",0.35,"lockdown","casesp100k",61670
"73",0.36,"lockdown","losses",11479
"74",0.36,"lockdown","casesp100k",61670
"75",0.37,"lockdown","losses",11495
"76",0.37,"lockdown","casesp100k",61670
"77",0.38,"lockdown","losses",11511
"78",0.38,"lockdown","casesp100k",61669
"79",0.39,"lockdown","losses",11527
"80",0.39,"lockdown","casesp100k",61669
"81",0.4,"lockdown","losses",11544
"82",0.4,"lockdown","casesp100k",61669
"83",0.41,"lockdown","losses",11558
"84",0.41,"lockdown","casesp100k",61669
"85",0.42,"lockdown","losses",11573
"86",0.42,"lockdown","casesp100k",61668
"87",0.43,"lockdown","losses",11589
"88",0.43,"lockdown","casesp100k",61668
"89",0.44,"lockdown","losses",11604
"90",0.44,"lockdown","casesp100k",61668
"91",0.45,"lockdown","losses",11619
"92",0.45,"lockdown","casesp100k",61668
"93",0.46,"lockdown","losses",11633
"94",0.46,"lockdown","casesp100k",61667
"95",0.47,"lockdown","losses",11648
"96",0.47,"lockdown","casesp100k",61667
"97",0.48,"lockdown","losses",11662
"98",0.48,"lockdown","casesp100k",61667
"99",0.49,"lockdown","losses",11677
"100",0.49,"lockdown","casesp100k",61667
"101",0.5,"lockdown","losses",11690
"102",0.5,"lockdown","casesp100k",61667
"103",0.51,"lockdown","losses",11704
"104",0.51,"lockdown","casesp100k",61666
"105",0.52,"lockdown","losses",11718
"106",0.52,"lockdown","casesp100k",61666
"107",0.53,"lockdown","losses",11733
"108",0.53,"lockdown","casesp100k",61666
"109",0.54,"lockdown","losses",11747
"110",0.54,"lockdown","casesp100k",61666
"111",0.55,"lockdown","losses",11762
"112",0.55,"lockdown","casesp100k",61665
"113",0.56,"lockdown","losses",11777
"114",0.56,"lockdown","casesp100k",61665
"115",0.57,"lockdown","losses",11792
"116",0.57,"lockdown","casesp100k",61665
"117",0.58,"lockdown","losses",11808
"118",0.58,"lockdown","casesp100k",61665
"119",0.59,"lockdown","losses",11822
"120",0.59,"lockdown","casesp100k",61664
"121",0.6,"lockdown","losses",11836
"122",0.6,"lockdown","casesp100k",61664
"123",0.61,"lockdown","losses",11850
"124",0.61,"lockdown","casesp100k",61664
"125",0.62,"lockdown","losses",11864
"126",0.62,"lockdown","casesp100k",61664
"127",0.63,"lockdown","losses",11878
"128",0.63,"lockdown","casesp100k",61663
"129",0.64,"lockdown","losses",11892
"130",0.64,"lockdown","casesp100k",61663
"131",0.65,"lockdown","losses",11906
"132",0.65,"lockdown","casesp100k",61663
"133",0.66,"lockdown","losses",11921
"134",0.66,"lockdown","casesp100k",61663
"135",0.67,"lockdown","losses",11935
"136",0.67,"lockdown","casesp100k",61662
"137",0.68,"lockdown","losses",11950
"138",0.68,"lockdown","casesp100k",61662
"139",0.69,"lockdown","losses",11965
"140",0.69,"lockdown","casesp100k",61662
"141",0.7,"lockdown","losses",11980
"142",0.7,"lockdown","casesp100k",61661
"143",0.71,"lockdown","losses",11995
"144",0.71,"lockdown","casesp100k",61661
"145",0.72,"lockdown","losses",12010
"146",0.72,"lockdown","casesp100k",61661
"147",0.73,"lockdown","losses",12025
"148",0.73,"lockdown","casesp100k",61661
"149",0.74,"lockdown","losses",12040
"150",0.74,"lockdown","casesp100k",61660
"151",0.75,"lockdown","losses",12056
"152",0.75,"lockdown","casesp100k",61660
"153",0.76,"lockdown","losses",12072
"154",0.76,"lockdown","casesp100k",61660
"155",0.77,"lockdown","losses",12087
"156",0.77,"lockdown","casesp100k",61659
"157",0.78,"lockdown","losses",12103
