time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.9922647931789,7.7215972178939,7.99325794519162,158.766341704162,131.219098409011,158.786070669092,7.99226452251133,158.766314156919,0.000000473021565169259,0.000000193137254901961,0.00000000294117647058824,0.473021565169259,0.000000473022038191297,0.27694313379671,2.41240998236322,4.26260845824914,7.24603177370431,3.548544,0.000000473021565169259,0,0
2,0.999998526978435,0.00000127694313379671,0.000000193137254901961,0,7.9922647931789,7.7215972178939,7.99325794519162,158.766341704162,131.219098409011,158.786070669092,7.99226442423696,158.76630606475,0.000000604021354065111,0.000000246625291527404,0.00000000375571509940209,0.473021341419634,0.000000604022243802902,0.276942910047085,2.41240884124013,4.26260845824914,7.24603177370431,3.548544,0.00000107704291923437,-0.00000122961861803717,-0.00000509690569749921
3,0.999997922973297,0.00000163056726462488,0.000000439762546429365,0.00000000375571509940209,7.99198405763777,7.7215972178939,7.99325794519162,158.760764892582,131.219098409011,158.786070669092,7.9919835637926,158.760718931967,0.000000771271941455227,0.000000314923285422648,0.00000000479578607242612,0.473008356164112,0.000000771273543410971,0.276929924791563,2.41234261643697,4.2624587302655,7.24577725027401,3.548544,0.0000018483148606896,-0.00351538313004829,-0.00352418898287299
4,0.999997151727797,0.00000208209369356128,0.000000754685831852013,0.0000000085515011718282,7.99162559104441,7.7215972178939,7.99325794519162,158.753643953634,131.219098409011,158.786070669092,7.99162493820677,158.753584824097,0.000000984813192930465,0.000000402129860423109,0.00000000612380498106258,0.472991775526687,0.000000984815997954497,0.276913344154138,2.4122580551861,4.26226754506676,7.24545225349368,3.548544,0.00000283312805362006,-0.00800254174214699,-0.00801765342299809
5,0.999996166957714,0.0000026586101108155,0.00000115681569227512,0.0000000146753061528908,7.99116788149723,7.7215972178939,7.99325794519162,158.744551553388,131.219098409011,158.786070669092,7.99116702645548,158.744475625449,0.00000125744443126036,0.000000513476658657504,0.00000000781944150239854,0.472970604506824,0.00000125744925111651,0.276892173134275,2.4121500829848,4.26202342945776,7.24503728001522,3.548544,0.00000409057248488042,-0.0137319786244872,-0.0137551416909742
6,0.999994909583568,0.00000339468815682315,0.00000167029235093263,0.0000000224947476552893,7.99058347037227,7.7215972178939,7.99325794519162,158.732942226275,131.219098409011,158.786070669092,7.9905823584671,158.732844876576,0.00000160549594629864,0.000000655640751857021,0.0000000099843769318328,0.472943573055945,0.00000160550411898319,0.276865141683396,2.41201222258532,4.26171173860807,7.24450743501009,3.548544,0.00000569606843117906,-0.0210474020158613,-0.0210808448385502
7,0.999993304202205,0.00000433444439135752,0.00000232593310278965,0.0000000324791245871221,7.98983731261154,7.7215972178939,7.99325794519162,158.718119802209,131.219098409011,158.786070669092,7.98983587489349,158.717995145436,0.0000020497980237918,0.000000837142691271993,0.0000000127483658569339,0.472909060242855,0.00000204981174891679,0.276830628870306,2.41183620723856,4.26131378152527,7.24383094555655,3.548544,0.00000774586645497086,-0.0303874779294722,-0.0304340449922669
8,0.999991254590967,0.00000553416457203004,0.00000316307579406164,0.000000045227490444056,7.98888468753136,7.72159721789389,7.99325794519162,158.699195904802,131.219098409011,158.786070669092,7.98888283733754,158.699036455883,0.00000261691271726313,0.00000106885335361757,0.0000000162769546236178,0.472864997634718,0.00000261693560343539,0.276786566262169,2.41161148793706,4.26080570680185,7.24296726651462,3.548544,0.000010362779172234,-0.0423119775911807,-0.0423752994412552
9,0.999988637982707,0.00000706564252347118,0.00000423192914767921,0.0000000615044450676738,7.98766853860752,7.72159721789389,7.99325794519162,158.675037106189,131.21909840901,158.786070669092,7.98766616752639,158.674833356315,0.00000334069758315308,0.00000136463880110179,0.0000000207813015396211,0.472808746275473,0.00000334073554064806,0.276730314902924,2.41132460600491,4.26015708381156,7.24186466869388,3.548544,0.0000137034767553871,-0.0575350699665744,-0.0576197797935607
10,0.999985297781323,0.00000902042380481508,0.000005596567948781,0.0000000822857466072949,7.98611608888421,7.72159721789388,7.99325794519162,158.644197692127,131.21909840901,158.786070669092,7.98611306214967,158.643937579353,0.00000426428754856634,0.00000174217989171429,0.0000000265306582494561,0.472736940174593,0.00000426435024397614,0.276658508802044,2.41095839489042,4.25932909756575,7.24045717027968,3.548544,0.0000179677643039534,-0.0769676772376049,-0.0770796867179957
