time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.9932577840242,7.72061799290901,7.99325794701061,158.786067467501,131.202457678339,158.786070705226,7.99325751138441,158.786039883892,0.000000473020629440521,0.000000193137254901961,0.00000000294117647058824,0.473020629440521,0.000000473021102461624,0.276942198067972,2.41240521014666,4.26259742599597,7.24601301991593,3.548544,0.000000473020629440521,0,0
2,0.99999852697937,0.00000127694219806797,0.000000193137254901961,0,7.9932577840242,7.72061799290901,7.99325794701061,158.786067467501,131.202457678339,158.786070705226,7.99325741236939,158.786031777809,0.000000604019716575068,0.000000246625110803324,0.00000000375571234725874,0.473020405691782,0.000000604020606309881,0.276941974319233,2.41240406902809,4.26259742599597,7.24601301991593,3.548544,0.00000107704034601559,-0.00000123873169499689,-0.00000510503490591674
3,0.999997922975873,0.00000163056487239018,0.000000439762365705285,0.00000000375571234725874,7.99325773895674,7.72034680015925,7.99325794701061,158.786066572236,131.197849089324,158.786070705226,7.99325724042788,158.786020524487,0.000000771269280947988,0.000000314922823393006,0.00000000479577903644171,0.47300741847665,0.00000077127088289622,0.276928987104101,2.41233783423091,4.26244767489267,7.24575845718439,3.548544,0.00000184830962696358,-0.00000338981354097712,-0.0000121921325590968
4,0.999997151733037,0.00000208208910586416,0.000000754685189098291,0.00000000855149138370046,7.99325768145525,7.72000051885544,7.99325794701061,158.786065429969,131.191964462193,158.786070705227,7.99325702064583,158.786006151721,0.00000098480906545899,0.000000402128974367882,0.00000000612379148783577,0.472990835351521,0.000000984811870466105,0.276912403978972,2.41225326029276,4.26225646034044,7.24543341050589,3.548544,0.00000283311869242257,-0.00000613940654980993,-0.0000212437887725514
5,0.999996166967088,0.00000265860228871104,0.00000115681416346617,0.0000000146752828715362,7.99325760810662,7.71955836847419,7.99325794701061,158.786063972899,131.184450657374,158.786070705226,7.99325673963669,158.785987793946,0.00000125743822368963,0.00000051347514791772,0.00000000781941849620894,0.472969661174582,0.0000012574430435102,0.276891229802033,2.41214527199037,4.26201230747541,7.2450183736957,3.548544,0.00000409055691611219,-0.00000965498375693485,-0.0000328051166786914
6,0.99999490959916,0.00000339467565044232,0.00000167028931138389,0.0000000224947013677452,7.99325751457188,7.71899382397205,7.99325794701061,158.786062114831,131.174856914202,158.786070705227,7.99325638022081,158.785964344897,0.0000016054868155839,0.000000655638336408958,0.00000000998434014835976,0.472942625718812,0.00000160549498819694,0.276864194346263,2.41200739116594,4.26170056935915,7.24448844834186,3.548544,0.0000056960437316961,-0.0000141514720164437,-0.0000475728188287228
7,0.999993304226945,0.0000043344251896586,0.00000232592764779285,0.0000000324790415161049,7.993257395342,7.71827303183425,7.99325794701061,158.786059746329,131.16260793361,158.786070705226,7.99325592032121,158.785934390333,0.00000204978481496355,0.000000837138982708572,0.0000000127483093813488,0.472908107828019,0.00000204979853994938,0.27682967645547,2.4118313499229,4.2613025523409,7.24381185700373,3.548544,0.00000774582854665965,-0.0000199050661953137,-0.0000664375527148486
8,0.999991254628943,0.0000055341358994479,0.00000316306663050142,0.0000000452273508974537,7.99325724343384,7.71735279193075,7.99325794701061,158.786056728674,131.146969582237,158.786070705227,7.99325533151991,158.785896121763,0.0000026168938526053,0.00000106884781587376,0.0000000162768702924938,0.47286403878632,0.0000026169167385132,0.276785607413771,2.41160659781023,4.26079440166833,7.24294804885541,3.548544,0.0000103627223992649,-0.0000272712907367634,-0.0000905382667615307
9,0.999988638039591,0.00000706560056474751,0.00000423191444637518,0.0000000615042211899476,7.99325705001444,7.71617798777098,7.99325794701061,158.786052886397,131.127005222752,158.786070705226,7.99325457715963,158.78584722566,0.00000334067091231625,0.00000136463069730908,0.0000000207811781316103,0.472807779282614,0.00000334070886931816,0.276729347910065,2.41131967434133,4.26014568251879,7.24184528757301,3.548544,0.0000137033933115812,-0.0000367087482189277,-0.000121331970981409
10,0.999985297864948,0.00000902036333252097,0.00000559654514368426,0.0000000822853993215579,7.99325680394162,7.71467831702149,7.99325794701061,158.786047998161,131.101520153005,158.786070705226,7.99325360983095,158.785784740997,0.00000426425014555146,0.0000017421682122614,0.0000000265304803897676,0.47273596288274,0.00000426431284005474,0.276657531510191,2.41095341070197,4.25931757465897,7.24043758242649,3.548544,0.0000179676434571327,-0.0000488105563301033,-0.000160683454808463
