time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99312091659644,7.72159722244133,7.99325794701061,158.783348596022,131.219098486289,158.786070705227,7.99312064507274,158.783321031772,0.000000473060293617015,0.000000193137254901961,0.00000000294117647058824,0.473060293617015,0.000000473060766677782,0.276981862244466,2.41260749744678,4.26306506711794,7.24680796565437,3.548544,0.000000473060293617015,0,0
2,0.999998526939706,0.00000127698186224447,0.000000193137254901961,0,7.99312091659644,7.72159722244133,7.99325794701061,158.783348596022,131.219098486289,158.786070705227,7.99312054638289,158.78331293049,0.000000604089128925968,0.00000024663277143349,0.00000000375582900660137,0.47306006983075,0.000000604090018786988,0.276981638458201,2.41260635613682,4.26306506711794,7.24680796565437,3.548544,0.00000107714942254298,-0.00000123468486545875,-0.00000510209846593668
3,0.999997922853007,0.00000163067996073514,0.000000439770026335451,0.00000000375582900660137,7.99307885075637,7.72159722244131,7.99325794701061,158.7825129581,131.219098486288,158.786070705227,7.99307835460579,158.78246694919,0.00000077140600704526,0.000000314945051240022,0.00000000479611753157394,0.473057881141494,0.000000771407609372256,0.276979449768945,2.41259519382162,4.26304263164934,7.24676982747678,3.548544,0.00000184855542958824,-0.000529085808043117,-0.000537891874274887
4,0.999997151450963,0.00000208234083649714,0.000000754715077575473,0.00000000855194653817531,7.99302513385404,7.72159722244128,7.99325794701061,158.781445871825,131.219098486288,158.786070705227,7.9930244769595,158.781386656219,0.000000985061924010458,0.00000040217759293131,0.00000000612453187205041,0.473055086249716,0.000000985064730015647,0.276976654877167,2.41258093987355,4.26301398218283,7.24672112608967,3.548544,0.0000028336173535987,-0.00120313601551514,-0.0012182485792045
5,0.9999961663955,0.00000265909417420871,0.00000115689267050678,0.0000000146764784102257,7.99295653913086,7.72159722244124,7.99325794701061,158.780083237635,131.219098486287,158.786070705226,7.99295567709243,158.780007159976,0.00000125788853367281,0.000000513570149332467,0.00000000782086521826092,0.473051517269834,0.00000125789335593844,0.276973085897285,2.41256273807615,4.26297739775337,7.24665893601501,3.548544,0.00000409150588727151,-0.00206387451955337,-0.00208704023474393
6,0.999994908517503,0.0000033955811569328,0.00000167046281983925,0.0000000224973436284866,7.99286894634242,7.7215972224412,7.99325794701061,158.778343206876,131.219098486286,158.786070705226,7.99286782254032,158.778245601046,0.00000160626934314386,0.000000655813223446826,0.00000000998700340274353,0.473046959830226,0.00000160627752147775,0.276968528457677,2.41253949513415,4.2629306808626,7.24657952171313,3.548544,0.00000569777523041537,-0.00316300158162974,-0.0031964507938631
7,0.999993302265341,0.00000433603309228495,0.00000232627604328607,0.0000000324843470312302,7.99275709445661,7.72159722244114,7.99325794701061,158.776121269142,131.219098486285,158.786070705226,7.99275563671595,158.775996179397,0.0000020511220379519,0.000000837449528607976,0.0000000127530385067204,0.473041140207494,0.00000205113577591507,0.276962708834945,2.41250981505822,4.26287102558248,7.2464781133714,3.548544,0.00000774889726836727,-0.00456653130860296,-0.00461311196097158
8,0.999991251171318,0.00000553692454775745,0.00000316372557189405,0.0000000452373855379506,7.99261426596819,7.72159722244106,7.99325794701061,158.773283981191,131.219098486284,158.786070705226,7.99261238233104,158.77312380673,0.00000261915195474515,0.00000106938640775316,0.0000000162850721992866,0.473033708903609,0.00000261917486945737,0.27695527753106,2.4124719154084,4.26279484918702,7.24634862069401,3.548544,0.0000103680492231124,-0.00635875228550686,-0.00642210087004047
9,0.999988632065045,0.00000707035934123937,0.00000423311197964721,0.0000000615224577372372,7.99243188396132,7.72159722244096,7.99325794701061,158.769660962588,131.219098486282,158.786070705226,7.99242945733856,158.769456004806,0.000003344451210281,0.00000136554979433741,0.000000020795174533057,0.473024219684816,0.00000334448923021703,0.276945788312267,2.41242352039256,4.26269757724895,7.24618326758666,3.548544,0.0000137125004333934,-0.00864728264313719,-0.00873204243053705
10,0.99998528768832,0.00000902839109712898,0.00000559866177398461,0.0000000823176322702942,7.99219899787177,7.72159722244084,7.99325794701061,158.765034680373,131.21909848628,158.786070705226,7.99219587929644,158.764772566544,0.00000427053825804235,0.00000174371867268079,0.000000026554091462144,0.473012102831963,0.00000427060108845662,0.276933671459414,2.41236172444301,4.26257336937521,7.24597212593281,3.548544,0.0000179830386914358,-0.0115695210589961,-0.0116816206559456
11,0.999981017271511,0.0000115285351420959,0.00000734238044666541,0.000000108871723732438,7.99190162731465,7.72159722244067,7.99325794701061,158.759127414197,131.219098486277,158.786070705226,7.99189762746173,158.758792364515,0.0000054529582826906,0.00000222658963038518,0.0000000339074563002819,0.472996631009901,0.00000545306179668212,0.276918199637352,2.4122828181505,4.26241476924293,7.24570252068777,3.548544,0.0000234359969741264,-0.0153008776586527,-0.0154478865269758
12,0.999975564511245,0.0000147207983218147,0.00000956897007705059,0.00000014277918003272,7.99152192498076,7.72159722244047,7.99325794701061,158.751584627259,131.219098486274,158.786070705226,7.99151680355817,158.751156523742,0.00000696259719849482,0.00000284313457784068,0.0000000432964656523961,0.472976875729422,0.00000696276733711779,0.276898444356872,2.41218206622005,4.26221225813702,7.24535827093501,3.548544,0.0000303985941726212,-0.0200652734494433,-0.0202568555822458
13,0.999968602236888,0.0000187966416352575,0.0000124121046548913,0.000000186075645685116,7.99103710900298,7.7215972224402,7.99325794701061,158.741953757764,131.219098486269,158.786070705226,7.99103056156282,158.741406963201,0.00000888990271016043,0.00000363033176680953,0.0000000552842401036985,0.472951651825151,0.00000889018184198393,0.276873220452602,2.41205342430827,4.26195368553671,7.24491872193678,3.548544,0.0000392884968827816,-0.0261485295008801,-0.0263970222428078
