time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99312181533658,7.72159721243684,7.99325794701061,158.783366449495,131.219098316275,158.786070705227,7.99312154381197,158.783338885227,0.000000473060333804606,0.000000193137254901961,0.00000000294117647058824,0.473060333804606,0.000000473060806865413,0.276981902432057,2.41260770240349,4.26306554093014,7.24680877109034,3.548544,0.000000473060333804606,0,0
2,0.999998526939666,0.00000127698190243206,0.000000193137254901961,0,7.99312181533658,7.72159721243684,7.99325794701061,158.783366449495,131.219098316275,158.786070705227,7.99312144512168,158.783330783936,0.000000604089199255891,0.000000246632779195211,0.00000000375582912480017,0.473060110018303,0.00000060409008911704,0.276981678645754,2.41260656109335,4.26306554093014,7.24680877109034,3.548544,0.0000010771495330605,-0.00000123469022783596,-0.00000510210395043842
3,0.999997922852897,0.00000163068006337203,0.000000439770034097172,0.00000000375582912480017,7.99307974948568,7.72159721243681,7.99325794701061,158.782530811358,131.219098316274,158.786070705227,7.99307925333318,158.782484802408,0.000000771406121130605,0.00000031494507106303,0.00000000479611783344716,0.473057921328502,0.000000771407723457923,0.276979489955953,2.41259539877536,4.26304310545578,7.24677063290298,3.548544,0.0000018485556541911,-0.000529085896650017,-0.000537891963303672
4,0.999997151450738,0.00000208234103309311,0.000000754715105160202,0.00000000855194695824733,7.99302603256782,7.72159721243678,7.99325794701061,158.781463724774,131.219098316274,158.786070705226,7.99302537567064,158.781404509112,0.000000985062100692605,0.000000402177630901316,0.00000000612453245027384,0.47305512643594,0.000000985064906698518,0.276976695063391,2.41258114482329,4.26301445598103,7.24672193150185,3.548544,0.00000283361775488371,-0.00120313623162005,-0.00121824879631971
5,0.999996166395099,0.00000265909450893592,0.00000115689273606152,0.0000000146764794085212,7.99295743782266,7.72159721243674,7.99325794701061,158.780101090148,131.219098316273,158.786070705226,7.99295657578066,158.78002501241,0.00000125788879887203,0.000000513570213980762,0.00000000782086620275272,0.473051557454944,0.00000125789362113918,0.276973126082395,2.41256294302021,4.26297787153989,7.24665974140734,3.548544,0.00000409150655375573,-0.00206387492557303,-0.0020870406428064
6,0.999994908516837,0.00000339558169122143,0.00000167046295004228,0.0000000224973456112739,7.99286984500339,7.72159721243669,7.99325794701061,158.778361058776,131.219098316272,158.786070705227,7.99286872119652,158.77826345284,0.00000160626973233398,0.000000655813326637864,0.00000000998700497418067,0.473047000013771,0.00000160627791067092,0.276968568641222,2.41253970007023,4.26293115463274,7.24658032707762,3.548544,0.00000569777628608972,-0.00316300226469446,-0.00319645148060266
7,0.999993302264285,0.00000433603391099195,0.00000232627627668014,0.0000000324843505854546,7.9927579930747,7.72159721243662,7.99325794701061,158.77613912019,131.219098316271,158.786070705227,7.99275653532773,158.776014030302,0.00000205112259946174,0.000000837449686730799,0.0000000127530409146822,0.473041180388856,0.00000205113633743084,0.276962749016307,2.41251001998316,4.26287149932981,7.24647891869712,3.548544,0.00000774889888555146,-0.00456653238970484,-0.00461311304822409
8,0.999991251169701,0.00000553692576742664,0.00000316372596341094,0.0000000452373915001368,7.99261516452703,7.72159721243653,7.99325794701061,158.773301831062,131.219098316269,158.786070705226,7.99261328088158,158.77314165641,0.00000261915275415428,0.00000106938664331671,0.0000000162850757865489,0.473033749081951,0.00000261917566887773,0.276955317709402,2.41247212031795,4.26279532290285,7.24634942596617,3.548544,0.0000103680516397057,-0.00635875393119045,-0.00642210252554953
9,0.999988632062628,0.00000707036112113647,0.00000423311260672766,0.0000000615224672866857,7.99243278243876,7.72159721243642,7.99325794701061,158.769678810843,131.219098316268,158.786070705226,7.99243035580515,158.769473852806,0.00000334445233626144,0.00000136555013810185,0.0000000207951797680484,0.473024259859002,0.00000334449035621835,0.276945828486453,2.41242372528091,4.26269805092148,7.24618407278523,3.548544,0.0000137125039759672,-0.00864728508178647,-0.00873204488440749
10,0.999985287684778,0.00000902839365395284,0.0000055986627448295,0.0000000823176470547342,7.99219989623793,7.72159721243628,7.99325794701061,158.765052526417,131.219098316265,158.786070705226,7.99219677764849,158.764790412251,0.000004270539830108,0.00000174371916649873,0.0000000265540989822142,0.473012143000461,0.00000427060266056053,0.276933711627912,2.41236192930235,4.26257384298855,7.24597293103075,3.548544,0.0000179830438060752,-0.0115695246020731,-0.0116816242219597
11,0.999981017266397,0.0000115285387695513,0.00000734238191132824,0.000000108871746036948,7.99190252552938,7.7215972124361,7.99325794701061,158.759145257233,131.219098316262,158.786070705226,7.99189852565814,158.758810207107,0.00000545296046145955,0.00000222659033098196,0.0000000339074669692685,0.472996671170652,0.00000545306397552032,0.276918239798103,2.41228302297032,4.2624152427757,7.24570332564875,3.548544,0.0000234360042675347,-0.0153008827293188,-0.0154478916315814
12,0.999975564503952,0.0000147208034166042,0.0000095689722423102,0.000000142779213006217,7.9915228229902,7.72159721243587,7.99325794701061,158.751602466216,131.219098316258,158.786070705226,7.99151770154388,158.751174362115,0.00000696260019925615,0.00000284313556183433,0.0000000432964806370711,0.472976915879657,0.00000696277033800323,0.276898484507108,2.41218227098625,4.26221273156055,7.24535907571029,3.548544,0.0000303986044667909,-0.0200652806203516,-0.0202568628025035
13,0.999968602226594,0.0000187966487315339,0.0000124121078041445,0.000000186075693643288,7.99103800673506,7.72159721243558,7.99325794701061,158.741971591212,131.219098316253,158.786070705226,7.99103145926424,158.741424795883,0.00000888990682077872,0.00000363033313736489,0.0000000552842609750998,0.472951691961168,0.0000088901859528228,0.276873260588619,2.41205362900196,4.26195415881263,7.24491952646114,3.548544,0.0000392885112875696,-0.0261485395445904,-0.0263970323573504
14,0.999959712846099,0.0000240004118283321,0.0000160424409415094,0.000000241359954618388,7.99041899913997,7.7215972124352,7.99325794701061,158.729675005212,131.219098316247,158.786070705227,7.99041064078163,158.728976866928,0.0000113502624447087,0.00000463537365704061,0.0000000705894465539178,0.472919486794385,0.0000113507197329015,0.276841055421836,2.41188938265136,4.26162401622119,7.2443583152378,3.548544,0.0000506387737322783,-0.033915448620192,-0.0342366010695594
15,0.999948363441657,0.00003064385316654,0.00002067781459855,0.000000311949401172306,7.98962869218985,7.72159721243472,7.99325794701061,158.713975557491,131.219098316239,158.786070705226,7.9896180378588,158.713084521745,0.0000144908153396427,0.00000591846968020429,0.0000000901289799015882,0.472878370121719,0.0000144915636341138,0.27679993874917,2.41167968762077,4.26120251253267,7.24364179877854,3.548544,0.000065129589071921,-0.0438315110556808,-0.0442454252285729
16,0.999933874024887,0.0000391246712764378,0.0000265962842787543,0.000000402078381073894,7.98861973813783,7.72159721243411,7.99325794701061,158.693932685047,131.219098316228,158.786070705226,7.98860617878117,158.692795917567,0.0000184991570952279,0.0000075564316092728,0.000000115072562577758,0.472825879213678,0.0000185003804509251,0.276747447841129,2.41141198398976,4.2606643952171,7.2427270501675,3.548544,0.0000836287461671489,-0.0564906339288074,-0.0570229649379583
17,0.999915377147241,0.0000499500447513583,0.0000341527158880271,0.000000517150943651652,7.98733173763314,7.72159721243333,7.99325794701061,158.668346554766,131.219098316215,158.786070705226,7.98731451242956,158.666896962031,0.0000236143268508469,0.00000964721452550743,0.000000146911896327524,0.472758872757662,0.0000236163253316681,0.276680441385113,2.41107025106407,4.2599774507793,7.24155930950546,3.548544,0.000107243073017996,-0.0726503575678716,-0.0733338422113761
18,0.99989176653499,0.0000637665305803036,0.0000437999304135345,0.000000664062839979176,7.985687664347,7.72159721243233,7.99325794701061,158.63568703861,131.219098316198,158.786070705227,7.98566582930723,158.633839554021,0.0000301407393174591,0.0000123156926709018,0.000000187548619353834,0.472673345141488,0.0000301440019072348,0.276594913768939,2.41063406022159,4.25910059786261,7.24006874236623,3.548544,0.000137383812335455,-0.0932766312119693,-0.0941530341002417
19,0.999861631847875,0.0000813979764054122,0.0000561156230844363,0.000000851611459333011,7.98358932424701,7.72159721243105,7.99325794701061,158.594003512107,131.219098316176,158.786070705226,7.98356171878277,158.591650501266,0.0000384657688449876,0.0000157209817175159,0.000000239405812957095,0.472564190704255,0.0000384710920189005,0.276485759331706,2.4100773725917,4.25798146549034,7.23816632303594,3.548544,0.000175849581180442,-0.119600646340801,-0.120723235388676
20,0.999823175937544,0.000103893499205337,0.0000718366048019522,0.00000109101727229011,7.98091159777926,7.72159721242941,7.99325794701061,158.540810475293,131.219098316148,158.786070705227,7.98087681283451,158.537816108616,0.0000490818764898811,0.0000200657052386778,0.000000305569115309814,0.472424904977691,0.0000490905568815771,0.276346473605142,2.40936701538622,4.25655332218117,7.23573861429915,3.548544,0.000224931457670324,-0.153190851788565,-0.154627543629338
21,0.999774110114849,0.000132588047546377,0.00009190231004063,0.00000139658638759992,7.97749515324006,7.72159721242731,7.99325794701061,158.472942803843,131.219098316113,158.786070705226,7.97745150814452,158.46913625974,0.0000626143351214789,0.000025607691535918,0.000000389964845724639,0.472247206895308,0.0000626284822621443,0.276168775522758,2.40846075516607,4.2547311896861,7.23264116115877,3.548544,0.000287545792791802,-0.196044005856322,-0.197881356880514
22,0.999711521911911,0.000169178594102681,0.000117510001576548,0.00000178655123332456,7.97313724905369,7.72159721242463,7.99325794701061,158.386373036315,131.219098316067,158.786070705227,7.97308279037859,158.381540452234,0.0000798557751335797,0.0000326746892531649,0.000000497584100302003,0.472020562395217,0.000079878818422397,0.275942131022668,2.40730486821561,4.25240693745917,7.22869015189968,3.548544,0.000367401567925382,-0.250699971513546,-0.253048232776598
23,0.999631708653429,0.000215819579231558,0.000150184690829713,0.00000228413533362656,7.96758016224667,7.72159721242118,7.99325794701061,158.27598150579,131.219098316008,158.786070705226,7.96751270825468,158.269856718954,0.000101808912368386,0.0000416828010868794,0.000000634763468328113,0.471731585850015,0.000101846421524113,0.275653154477466,2.40583108783508,4.24944311107977,7.22365192698945,3.548544,0.000469210480293768,-0.320385914525778,-0.323385419325328
24,0.99952996887139,0.000275241796715564,0.000191867491916592,0.00000291889880195468,7.96049669322203,7.72159721241676,7.99325794701061,158.135268392208,131.219098315933,158.786070705226,7.96041396462181,158.127522759054,0.000129738879265427,0.0000531594450519275,0.000000809534696222247,0.471363291526175,0.000129799889253866,0.275284860153626,2.40395278678349,4.2456652013436,7.21722983726326,3.548544,0.000598949359559195,-0.409196569961878,-0.413025781405485
25,0.999400342304885,0.000350899383471849,0.00024502693696852,0.00000372843349817692,7.9514721103201,7.72159721241107,7.99325794701061,157.955995051069,131.219098315837,158.786070705226,7.95137201609407,157.946227088384,0.000165236471565198,0.0000677717436705434,0.00000103205701021132,0.4708941632508,0.000165335616339813,0.274815731878251,2.40156023257908,4.24085201454322,7.20904787431033,3.548544,0.000764185831124393,-0.522318189321547,-0.527203800297893
26,0.999235288115674,0.00044714977200229,0.000312798680639063,0.00000476049050838824,7.93998182616795,7.72159721240374,7.99325794701061,157.727740554104,131.219098315712,158.786070705226,7.939863018677,157.715466939729,0.000210293199675972,0.00008636127949456,0.00000131514638824203,0.470297007497737,0.000210454136455225,0.274218576125188,2.39851473823846,4.23472376633331,7.19863043116932,3.548544,0.000974479030800365,-0.666304457439448,-0.672534003249348
27,0.999025290372338,0.000569471089456151,0.000399159960133623,0.00000607563689663027,7.9253640679049,7.72159721239429,7.99325794701061,157.437358783304,131.219098315551,158.786070705227,7.92522695414553,157.422009598472,0.000267388062821905,0.00010998608296359,0.00000167491496898868,0.469537554711096,0.000267648942823309,0.273459123338547,2.39464152902659,4.22692750562095,7.1853775243187,3.548544,0.00124186709362227,-0.84941270183746,-0.857350208348029
28,0.998758380411293,0.00072472005256788,0.000509146043097213,0.00000775055186561895,7.90678686030855,7.72159721238205,7.99325794701061,157.068322550713,131.219098315344,158.786070705227,7.9066353708519,157.049245856096,0.000339584088600405,0.000139970441525365,0.00000213152956637612,0.468572778408941,0.000340006247016984,0.272494347036392,2.3897211698856,4.2170195052885,7.1685348595687,3.548544,0.00158145118222268,-1.08200747963136,-1.09211271239504
29,0.998419568344322,0.000921430148447491,0.000649116484622578,0.00000988208143199507,7.88320885872324,7.72159721236618,7.99325794701061,156.599945544537,131.219098315074,158.786070705227,7.88305345385948,156.576429922583,0.000430629380635186,0.000177962489455055,0.00000271008867190438,0.467348915553446,0.000431311038253485,0.271270484180897,2.38347946932258,4.2044443727592,7.14715832199591,3.548544,0.00201208056285786,-1.37703510886437,-1.38988698571102
30,0.99799018225299,0.0011701436616524,0.000827078974077633,0.0000125921701038995,7.85333406368736,7.72159721234549,7.99325794701061,156.006482735214,131.219098314722,158.786070705227,7.85319672713118,155.977811954202,0.00054505198283454,0.000225998334652472,0.00000344159900485999,0.465799201155229,0.000546149644081738,0.269720769782679,2.37557592589166,4.18851089741744,7.12007291883896,3.548544,0.0025571325456924,-1.75056535689894,-1.76688999659638
31,0.997447125692727,0.00148376028825787,0.00105307730873011,0.0000160337691087594,7.81556139525149,7.72159721231843,7.99325794701061,155.256128669232,131.219098314262,158.786070705226,7.81548376724102,155.221690982448,0.000688229426169469,0.000286569389006667,0.00000436400084781726,0.463841384363738,0.000689990886175037,0.267762952991189,2.36559106025506,4.16836515648755,7.08582706203259,3.548544,0.00324536197186187,-2.22238302767303,-2.24308666626135
32,0.99676208503329,0.00187786755784045,0.00133964669773677,0.0000203977699565767,7.76793174819252,7.72159721228287,7.99325794701061,154.309965720944,131.219098313658,158.786070705227,7.76798812423719,154.269452496383,0.000866401492107252,0.000362686185190753,0.00000552313987600132,0.461375185108164,0.00086921593940676,0.265296753735615,2.35301344405164,4.14296227736922,7.04264456684498,3.548544,0.00411176346396912,-2.81658946809178,-2.84279598888304
33,0.995900751591986,0.00237099167407718,0.00170233288292753,0.000025920909832578,7.70807781010011,7.72159721223592,7.99325794701061,153.120967228848,131.21909831286,158.786070705226,7.70839551295392,153.074712486794,0.0010865780537928,0.000457926823326671,0.00000697350492375641,0.458279995527909,0.001091050540986,0.26220156415536,2.33722797719234,4.11103967352802,6.98837915541948,3.548544,0.00519834151776192,-3.56213813711465,-3.5952301031778
34,0.994822173213798,0.00298466972401507,0.0021602597062542,0.0000328944147563344,7.63318596566302,7.72159721217362,7.99325794701061,151.633240724228,131.219098311801,158.786070705227,7.63397658139079,151.582774889131,0.00135627375410877,0.000576450917285264,0.00000877844036475021,0.454413345368165,0.00136333285548641,0.258334913995616,2.31750806137764,4.07109672646094,6.92047991803507,3.548544,0.00655461527187069,-4.4931752939404,-4.53483598886963
