time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99325797468802,7.7214505221174,7.99325794701061,158.786071255038,131.216605493751,158.786070705227,7.99325770288056,158.786043685572,0.000000473059623957878,0.000000193137254901961,0.00000000294117647058824,0.473059623957878,0.000000473060097017975,0.276981192585329,2.41260408218518,4.2630571718286,7.2467945444082,3.548544,0.000000473059623957878,0,0
2,0.999998526940376,0.00000127698119258533,0.000000193137254901961,0,7.99325797468802,7.7214505221174,7.99325794701061,158.786071255038,131.216605493751,158.786070705227,7.99325760408542,158.786035582331,0.000000604087956995656,0.000000246632642097363,0.00000000375582703701568,0.473059400172247,0.000000604088846854546,0.276980968799698,2.41260294087846,4.2630571718286,7.2467945444082,3.548544,0.00000107714758095353,-0.00000123598092871546,-0.00000510324538183227
3,0.999997922854849,0.00000163067825090617,0.000000439769896999324,0.00000000375582703701568,7.99325798235356,7.72140988611568,7.99325794701061,158.786071407314,131.215914934614,158.786070705226,7.99325748552589,158.786025385868,0.000000771404106780297,0.000000314944721008348,0.00000000479611250266521,0.473057211839078,0.000000771405709101925,0.276978780466529,2.4125917803793,4.26303474054696,7.24675641334806,3.548544,0.00000184855168773383,-0.00000271922520056478,-0.0000115247558940546
4,0.999997151454704,0.00000208233756240947,0.000000754714618007672,0.00000000855193953968088,7.99325799214187,7.72135799510409,7.99325794701061,158.786071601759,131.215033110354,158.786070705227,7.99325733408682,158.786012364602,0.000000985058982422936,0.000000402176960583006,0.0000000061245222423808,0.473054417403451,0.00000098506178841606,0.276975986030902,2.4125775287576,4.26300609644182,7.24670772107476,3.548544,0.00000283361067015677,-0.00000461381027827557,-0.0000197252662537117
5,0.999996166402181,0.00000265908860173414,0.00000115689157859068,0.0000000146764617820617,7.99325800464062,7.72129173201817,7.99325794701061,158.786071850047,131.213907050272,158.786070705226,7.99325714063581,158.785995735781,0.00000125788412063753,0.000000513569073080025,0.00000000782084882862982,0.473050849007888,0.00000125788894287784,0.276972417635339,2.41255932994023,4.26296951887734,7.24664554266992,3.548544,0.0000040914947907943,-0.00000703398758128415,-0.0000301977369332462
6,0.999994908528595,0.00000339557226606958,0.0000016704606516707,0.0000000224973106106915,7.99325802060006,7.72120711668377,7.99325794701061,158.786072167081,131.212469116179,158.786070705226,7.99325689349504,158.785974499639,0.0000016062628707578,0.000000655811506289908,0.00000000998697725314581,0.473046292316751,0.00000160627104904091,0.276967860944202,2.41253609081543,4.26292281077657,7.24656614331021,3.548544,0.0000056977576615521,-0.000010125853000531,-0.0000435717973479299
7,0.999993302282902,0.00000433601947562845,0.00000232627215796061,0.0000000324842878638373,7.99325804097792,7.72109906692351,7.99325794701061,158.786072571887,131.210632942688,158.786070705227,7.99325657772621,158.785947379169,0.00000205111270651866,0.000000837446898724318,0.0000000127529984577307,0.473040473652712,0.00000205112644438332,0.276962042280163,2.41250641562883,4.2628631667508,7.2464647540998,3.548544,0.00000774887036807076,-0.0000140762927092197,-0.0000606516800671919
8,0.999991251198206,0.00000553690427498748,0.00000316371905668493,0.000000045237286321568,7.99325806699669,7.72096109360453,7.99325794701061,158.78607308875,131.208288254923,158.786070705227,7.99325617421115,158.785912743119,0.0000026191386811903,0.00000106938249232601,0.0000000162850125734926,0.473033043576724,0.00000261916159571597,0.276954612204174,2.41246852224129,4.26278700476423,7.24633528591618,3.548544,0.0000103680090492611,-0.0000191244855396455,-0.0000824647119590516
9,0.999988632105197,0.00000707032977879766,0.00000423310154901094,0.0000000615222988950606,7.99325810021662,7.72078491140123,7.99325794701061,158.786073748664,131.205294253913,158.786070705226,7.99325565846747,158.785868507542,0.00000334443253356832,0.00000136554408472857,0.000000020795087584699,0.473023555930521,0.00000334447055315774,0.276945124557972,2.41242013524566,4.26268975127269,7.2461699641662,3.548544,0.0000137124415828294,-0.0000255767193757528,-0.000110323316881988
10,0.999985287747134,0.00000902834866900399,0.00000559864563373951,0.0000000823173864797596,7.99325814262871,7.72055994204196,7.99325794701061,158.78607459118,131.201471174871,158.786070705226,7.99325499911947,158.785812009868,0.00000427051221460257,0.0000017437104782292,0.0000000265539666735411,0.473011441091552,0.0000042705750443825,0.276933009719003,2.41235834956691,4.26256556701276,7.24595886265357,3.548544,0.000017982953797432,-0.0000338255213394589,-0.000145904324322377
11,0.999981017356345,0.0000115284750134874,0.00000734235611196871,0.000000108871353153301,7.99325819677318,7.72027268044753,7.99325794701061,158.78607566676,131.196589515498,158.786070705226,7.99325415591822,158.785739847749,0.00000545292224293271,0.0000022265780173108,0.0000000339072794514335,0.472995971848247,0.00000545302575577747,0.276917540475698,2.41227945642606,4.26240699710617,7.24568930878936,3.548544,0.0000234358760403647,-0.0000443744274325475,-0.000191350458933481
12,0.999975564632079,0.0000147207139822299,0.00000956893412927952,0.000000142778632604734,7.99325826589012,7.71990588609045,7.99325794701061,158.786077039768,131.190356294122,158.786070705227,7.9932530771688,158.785647672718,0.0000069625476530941,0.00000284311828872479,0.0000000432962175947938,0.472976219869426,0.00000696271778966501,0.276897788496877,2.41217872133407,4.26220452468464,7.24534512479638,3.548544,0.0000303984236934588,-0.0000578701692233175,-0.000249400290319723
13,0.999968602407204,0.0000187965243511017,0.0000124120524180043,0.000000186074850199528,7.99325835411102,7.71943755166296,7.99325794701061,158.786078792276,131.18239752347,158.786070705227,7.99325169637265,158.785529925795,0.00000888983499198139,0.00000363030911486964,0.0000000552838951502992,0.47295100019171,0.00000889011412016444,0.276872568819161,2.41205010097772,4.26194600158724,7.24490565994842,3.548544,0.0000392882586854401,-0.0000751446798341604,-0.000323554744130483
