time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99325791106759,7.7214505221174,7.99325794701061,158.786069991218,131.216605493751,158.786070705227,7.9932576392602,158.786042421754,0.000000473059621079952,0.000000193137254901961,0.00000000294117647058824,0.473059621079952,0.000000473060094140046,0.276981189707403,2.41260406750776,4.26305713789782,7.24679448672908,3.548544,0.000000473059621079952,0,0
2,0.999998526940379,0.0000012769811897074,0.000000193137254901961,0,7.99325791106759,7.7214505221174,7.99325794701061,158.786069991218,131.216605493751,158.786070705227,7.99325754046509,158.786034318513,0.000000604087951959172,0.000000246632641541528,0.00000000375582702855119,0.473059397294323,0.000000604088841818053,0.276980965921774,2.41260292620105,4.26305713789782,7.24679448672908,3.548544,0.00000107714757303912,-0.0000012359805401374,-0.00000510324499325421
3,0.999997922854858,0.00000163067824253824,0.000000439769896443489,0.00000000375582702855119,7.99325790111227,7.7214098861161,7.99325794701061,158.786069793456,131.215914934621,158.786070705227,7.99325740428477,158.786023772014,0.000000771404096829086,0.000000314944719392189,0.00000000479611247805364,0.473057208164104,0.000000771405699150687,0.276978776791555,2.41259176163693,4.26303469721887,7.2467563396944,3.548544,0.00000184855166986821,-0.00000293967045150723,-0.0000117452011783037
4,0.999997151454724,0.00000208233754407147,0.000000754714615835678,0.00000000855193950660483,7.99325788839974,7.72135799510532,7.99325794701061,158.786069540921,131.215033110375,158.786070705227,7.99325723034498,158.786010303771,0.000000985058963976203,0.000000402176957041254,0.00000000612452218844549,0.473054412710716,0.000000985061769969254,0.276975981338167,2.41257750482465,4.2630060411142,7.24670762702304,3.548544,0.00000283361063384441,-0.00000511575175554668,-0.0000202272076865739
5,0.999996166402223,0.00000265908856583898,0.00000115689157287693,0.0000000146764616950503,7.99325787216648,7.72129173202086,7.99325794701061,158.786069218448,131.213907050318,158.786070705226,7.99325700816219,158.785993104193,0.00000125788408772324,0.000000513569066147333,0.00000000782084872305583,0.473050843015589,0.00000125788890996337,0.27697241164304,2.41255929937951,4.26296944822763,7.24664542257209,3.548544,0.00000409149472156766,-0.00000789537937251339,-0.0000310591285912487
6,0.999994908528674,0.00000339557219988609,0.00000167046063902426,0.0000000224973104181062,7.99325785143762,7.72120711668904,7.99325794701061,158.786068806669,131.212469116269,158.786070705226,7.99325672433348,158.785971139246,0.0000016062628134682,0.000000655811493507411,0.0000000099869770584885,0.473046284665095,0.00000160627099175089,0.276967853292546,2.41253605179198,4.26292272056264,7.24656598995505,3.548544,0.00000569775753503586,-0.0000114462308631325,-0.0000448921747997488
7,0.999993302283046,0.00000433601935793849,0.00000232627213253168,0.0000000324842874765946,7.99325782496843,7.72109906693321,7.99325794701061,158.786068280859,131.210632942853,158.786070705227,7.99325636171821,158.785943088173,0.00000205111260848209,0.000000837446875994002,0.0000000127529981115838,0.473040463882355,0.0000020511263463458,0.276962032509805,2.41250636580001,4.26286305155671,7.24646455828074,3.548544,0.00000774887014351795,-0.0000159827451384764,-0.0000625581315194523
8,0.999991251198459,0.00000553690407060846,0.00000316371900852568,0.0000000452372855881784,7.99325779116976,7.7209610936218,7.99325794701061,158.786067609448,131.208288255217,158.786070705226,7.9932558983867,158.785907263871,0.00000261913851543685,0.00000106938245285281,0.0000000162850119723778,0.473033031101265,0.00000261916142996041,0.276954599728716,2.41246845861645,4.26278685767587,7.24633503587986,3.548544,0.0000103680086589548,-0.0000217792742729372,-0.0000851194987161463
9,0.999988632105635,0.000007070329429618,0.00000423310146137849,0.0000000615222975605563,7.99325774801281,7.72078491143121,7.99325794701061,158.786066752135,131.205294254422,158.786070705226,7.99325530626778,158.785861511103,0.00000334443225577413,0.00000136554401728897,0.0000000207950865577,0.47302354000142,0.00000334447027535893,0.276945108628871,2.41242005400724,4.26268956346402,7.24616964490918,3.548544,0.0000137124409147289,-0.0000291870040025621,-0.00011393359783396
10,0.999985287747882,0.00000902834807932546,0.00000559864547866746,0.0000000823173841182563,7.99325769290768,7.72055994209319,7.99325794701061,158.786065657472,131.201471175741,158.786070705226,7.99325454940524,158.785803076308,0.00000427051175205798,0.00000174371036434031,0.0000000265539649391925,0.473011420753402,0.00000427057458182792,0.276932989380853,2.41235824584235,4.26256532721826,7.24595845502558,3.548544,0.0000179829526667869,-0.000038655765877138,-0.000150734562220922
11,0.999981017357605,0.0000115284740260777,0.00000734235584300777,0.000000108871349057449,7.99325762254853,7.72027268053405,7.99325794701061,158.786064259787,131.196589516969,158.786070705226,7.99325358170477,158.785728441021,0.00000545292147653799,0.00000222657782660521,0.0000000339072765472874,0.472995945881764,0.00000545302498936133,0.276917514509215,2.412279323997,4.26240669094849,7.24568878835022,3.548544,0.0000234358741433249,-0.0000507622250234263,-0.000197738244811507
12,0.999975564634189,0.0000147207123392238,0.00000956893366961297,0.000000142778625604736,7.99325753271614,7.71990588623531,7.99325794701061,158.786062475267,131.190356296584,158.786070705227,7.99325234401324,158.785633108619,0.00000696254638799113,0.00000284311797139911,0.0000000432962127624229,0.472976186718846,0.00000696271652451645,0.276897755346297,2.41217855226611,4.26220413381798,7.24534446035997,3.548544,0.000030398420531316,-0.0000662464191836243,-0.000257776520073971
13,0.999968602410714,0.0000187965216302019,0.0000124120516410121,0.000000186074838367159,7.99325741802639,7.71943755190401,7.99325794701061,158.786060196955,131.182397527566,158.786070705226,7.99325076031826,158.785511331135,0.00000888983290967269,0.00000363030858936253,0.0000000552838871476528,0.472950957872368,0.00000889011203775916,0.276872526499819,2.41204988514908,4.26194550260695,7.24490481172905,3.548544,0.0000392882534409887,-0.0000860593046825287,-0.000334469334506426
14,0.999959713104245,0.0000240002356226243,0.0000160423602303746,0.000000241358725514812,7.99325727160997,7.71883958858437,7.99325794701061,158.786057288393,131.172235872474,158.786070705227,7.99324873277979,158.785355758969,0.0000113501613447814,0.00000463533962515391,0.0000000705889283018361,0.472918746434386,0.0000113506186259707,0.276840315061837,2.41188560681537,4.2616152855854,7.24434347398158,3.548544,0.0000506384147857701,-0.000111424913584735,-0.000432445304554552
15,0.99994836380109,0.0000306436102244895,0.0000206776998555285,0.000000311947653816648,7.99325708470484,7.71807614999555,7.99325794701061,158.786053575522,131.159262167619,158.786070705227,7.99324613519799,158.785156991294,0.0000144906775257906,0.00000591842275904357,0.0000000901282653661457,0.472877621782635,0.0000144914258079362,0.276799190410086,2.41167587109144,4.26119368715488,7.24362679646985,3.548544,0.0000651290923115607,-0.000143922074424818,-0.000557624868258166
16,0.999933874522436,0.0000391243378539554,0.0000265961226145721,0.000000402075919182794,7.9932568461383,7.71710149832592,7.99325794701061,158.786048836398,131.142699154846,158.786070705226,7.99324280436677,158.784902998163,0.0000184989697690753,0.00000755636721296983,0.000000115071581923398,0.472825120724823,0.0000185001931031792,0.276746689352274,2.4114081156966,4.26065544926787,7.24271184289875,3.548544,0.000083628062080636,-0.000185592584367456,-0.000717584224574352
17,0.999915377832605,0.0000499495888900864,0.0000341524898275419,0.000000517147501106192,7.99325654166949,7.71585728799019,7.99325794701061,158.786042788125,131.12155532231,158.786070705226,7.99323852853658,158.78457837648,0.0000236140728074683,0.00000964712648171276,0.000000146910555559078,0.472758101361572,0.0000236160712506029,0.276679669989022,2.41106631694401,4.25996835142871,7.24154384146888,3.548544,0.000107242134888104,-0.00023908554540597,-0.000922023908456193
18,0.99989176747519,0.0000637659092676079,0.0000437996163092547,0.00000066405805666527,7.9932561531563,7.71426911185549,7.99325794701061,158.78603507031,131.094566211815,158.786070705226,7.99323303187678,158.784163390017,0.0000301403954044785,0.0000123155726722733,0.000000187546791963553,0.472672557337614,0.0000301436579286831,0.276594125965065,2.41063004242183,4.25909130340857,7.24005294267223,3.548544,0.000137382530292583,-0.000307851748726495,-0.00118337336746377
19,0.99986163313327,0.0000813971317233803,0.000056115188981528,0.000000851604848628822,7.99325565750187,7.7122421149554,7.99325794701061,158.786025224135,131.060119879249,158.786070705227,7.99322595332916,158.783632727551,0.0000384653038565713,0.000015720818577947,0.000000239403328598177,0.472563382052474,0.0000384706269166789,0.276484950679925,2.41007324846762,4.25797192300259,7.23815010170807,3.548544,0.000175847834149154,-0.000396408228964251,-0.00151757306012801
20,0.999823177690001,0.000103892353085656,0.0000718360075594749,0.000001091008177227,7.99325502532645,7.70965543251853,7.99325794701061,158.78601266597,131.016162375683,158.786070705227,7.99321681749113,158.782953891192,0.0000490812482712484,0.0000200654838802689,0.000000305565744369577,0.47242406985221,0.0000490899284657974,0.276345638479661,2.40936275624627,4.2565434645457,7.2357218572499,3.548544,0.000224929082420402,-0.000510702530975848,-0.0019450894517492
21,0.999774112498873,0.000132586494589143,0.0000919014914397438,0.00000139657392159658,7.99325421929884,7.70635515120466,7.99325794701061,158.785996654231,130.960078132193,158.786070705226,7.99320499401972,158.782085096642,0.0000626134865615696,0.0000256073916020208,0.000000389960278203362,0.472246338177922,0.0000626276333611711,0.276167906805373,2.4084563247074,4.25472093191397,7.232623723915,3.548544,0.000287542568981972,-0.000658620588267489,-0.00249223738563176
22,0.999711525149896,0.000169176491686145,0.000117508883041765,0.00000178653419979994,7.99325319205051,7.70214542428106,7.99325794701061,158.785976247943,130.888538973147,158.786070705227,7.99318964028864,158.780972524883,0.0000798546285792425,0.0000326742831982064,0.000000497577916723956,0.472019651095427,0.0000798776712784913,0.275941219722878,2.40730022058668,4.25239617210382,7.22867185181238,3.548544,0.000367397197561215,-0.000850704113797285,-0.00319291090938867
23,0.999631713046665,0.000215816733801697,0.000150183166239971,0.00000228411211652389,7.99325188358425,7.6967772937902,7.99325794701061,158.785950255261,130.797314162622,158.786070705226,7.9931696193242,158.779546705395,0.000101807361780454,0.000041682251528367,0.000000634755099416756,0.471730620638525,0.000101844869917308,0.275652189265976,2.40582616525648,4.24943170259144,7.22363253363683,3.548544,0.000469204559341668,-0.00110117726678238,-0.00409086104814493
24,0.999529974829192,0.000275237944647554,0.000191865417768338,0.00000291886721594065,7.99325021808188,7.689934688552,7.99325794701061,158.785917170056,130.681032457582,158.786070705226,7.9931433808763,158.777717726786,0.000129736779122739,0.0000531587010740864,0.000000809523366610453,0.471362258168542,0.000129797787349909,0.275283826795993,2.40394751665956,4.24565297918673,7.21720906075097,3.548544,0.000598941338464408,-0.00142943451916233,-0.00524271204271898
25,0.999400350385234,0.000350894164164914,0.000245024118842424,0.0000037283905825511,7.99324810001572,7.6812169831939,7.99325794701061,158.785875094671,130.532885719931,158.786070705227,7.99310878707005,158.77536885073,0.000165233621061082,0.0000677707356279294,0.00000103204165930857,0.47089304393055,0.000165332762788597,0.274814612558001,2.40155452404581,4.24083876492423,7.20902535120947,3.548544,0.00076417495952549,-0.00186222184836993,-0.00672198315496697
26,0.999235299082313,0.000447142689797847,0.000312794854470354,0.00000476043224185967,7.99324540948422,7.67011743438176,7.99325794701061,158.785821647262,130.344262466636,158.786070705226,7.99306285428125,158.77234793373,0.000210289320080957,0.0000863599116570352,0.00000131512555822896,0.470295780025004,0.000210450251581469,0.274217348652455,2.39850847812752,4.23470922245327,7.19860570794693,3.548544,0.000974464279606447,-0.00243686601567594,-0.0086244910540545
27,0.999025305275486,0.000569461459410005,0.000399154766127389,0.00000607555780008863,7.99324199673664,7.65599678157656,7.99325794701061,158.785753853031,130.104299246882,158.786070705227,7.99300136803757,158.768455817464,0.000267382764929541,0.000109984223042913,0.00000167488664532354,0.469536191626674,0.000267643635769375,0.273457760254125,2.39463457729604,4.22691133651314,7.18535003836261,3.548544,0.00124184704453599,-0.00320609236186264,-0.0110756613251883
28,0.998758400702336,0.000724706922871595,0.000509138989170302,0.00000775044444541218,7.9932376759435,7.63805135471526,7.99325794701061,158.785668020474,129.799338671129,158.786070705227,7.99291830562432,158.763430505433,0.00033957682584856,0.000139967905691867,0.00000213149094962234,0.46857124601903,0.000339998968328844,0.272492814646481,2.38971335469705,4.21700130357502,7.16850391837494,3.548544,0.00158142387038455,-0.00424524832302042,-0.0142404936704366
29,0.9984195960394,0.000921412189166909,0.000649106894862169,0.00000988193539503452,7.99323221844103,7.61527524178564,7.99325794701061,158.785559607187,129.412286495323,158.786070705226,7.99280496886246,158.756925471405,0.000430619381750723,0.000177959020848903,0.00000271003585049091,0.467347172973765,0.000431301011577631,0.271268741601216,2.3834705821662,4.20442364213876,7.14712308189918,3.548544,0.00201204325213527,-0.00566315284918906,-0.018337222784226
