time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99325794451789,7.72149685171909,7.99325794701063,158.786070655709,131.217392808654,158.786070705227,7.9932576727568,158.786043087031,0.000000473061792127687,0.000000193137254901961,0.00000000294117647058824,0.473061792127688,0.000000473062265189953,0.276983360755138,2.41261513985121,4.26308273457695,7.24683799866598,3.548544,0.000000473061792127687,0,0
2,0.999998526938208,0.00000127698336075514,0.000000193137254901961,0,7.99325794451789,7.72149685171909,7.99325794701063,158.786070655709,131.217392808654,158.786070705227,7.99325757397391,158.786034983948,0.000000604091751382916,0.000000246633060851728,0.0000000037558334139857,0.473061568340005,0.000000604092641248704,0.276983136967456,2.41261399853402,4.26308273457695,7.24683799866598,3.548544,0.0000010771535435106,-0.00000123582757360907,-0.0000051031455172712
3,0.999997922848119,0.0000016306845551965,0.000000439770315753689,0.0000000037558334139857,7.99325794382725,7.72146904792132,7.99325794701063,158.786070641989,131.216920317125,158.786070705227,7.99325744709436,158.786024622009,0.000000771411603939166,0.000000314945938601678,0.0000000047961310446956,0.473059980534499,0.000000771413206281559,0.27698154916195,2.41260590072595,4.26306738357226,7.24681190340791,3.548544,0.00000184856514744977,-0.00000282315971711355,-0.0000116288692120214
4,0.999997151439226,0.00000208235137820605,0.000000754716254355366,0.0000000085519644586813,7.99325794294519,7.72143354312978,7.99325794701063,158.786070624467,131.216316956628,158.786070705227,7.99325728504364,158.786011389602,0.000000985072880289832,0.000000402179628928032,0.00000000612456287707663,0.473057952946669,0.000000985075686337791,0.27697952157412,2.41259556002801,4.26304778070262,7.24677858038103,3.548544,0.0000028336380277396,-0.00000485050241083584,-0.0000199623520713565
5,0.999996166370767,0.00000265911564548959,0.0000011568958832834,0.0000000146765273357579,7.99325794181863,7.72138820447487,7.99325794701063,158.786070602088,131.215546481653,158.786070705227,7.99325707806271,158.78599449143,0.00000125790891899863,0.000000513574296236715,0.00000000782092836908703,0.47305536377566,0.00000125791374137352,0.276976932403111,2.41258235525587,4.26302274837018,7.24673602778019,3.548544,0.00000409154694673823,-0.00000743994637009138,-0.0000306044535824945
6,0.999994908469058,0.00000339562213041442,0.00000167047017952011,0.000000022497455704845,7.99325794037972,7.72133030844456,7.99325794701063,158.786070573504,131.214562609446,158.786070705227,7.99325681367869,158.785972911781,0.0000016063060352577,0.000000655821136952589,0.00000000998712391298358,0.473052057491938,0.00000160631421385622,0.276973626119388,2.41256549320888,4.26299078287211,7.24668168945264,3.548544,0.00000569785298199593,-0.0000107475341848406,-0.0000441948476037624
7,0.999993302174779,0.00000433610814871298,0.0000023262913164727,0.0000000324845796178285,7.99325793854175,7.72125637737047,7.99325794701063,158.786070536993,131.213306241286,158.786070705227,7.99325647594638,158.785945353388,0.00000205118657424418,0.000000837464024800448,0.0000000127532592609205,0.473047835500367,0.00000205120031282537,0.276969404127818,2.41254396105187,4.26294996412153,7.246612301432,3.548544,0.0000077490395562401,-0.000014972749073916,-0.0000615505244216941
8,0.999991251007374,0.00000553705826903944,0.00000316375534127315,0.0000000452378388787491,7.99325793619389,7.72116197067763,7.99325794701063,158.786070490352,131.211701915035,158.786070705227,7.99325604447541,158.785910159311,0.00000261926357737815,0.00000106941223431448,0.0000000162854654971748,0.473042444220573,0.00000261928649349637,0.276964012848024,2.41251646552492,4.2628978403924,7.24652369601558,3.548544,0.0000103683031336183,-0.0000203706855717023,-0.0000837149898069711
9,0.999988631775055,0.00000707059288800134,0.00000423316757558763,0.0000000615233043759239,7.99325793319438,7.72104141840261,7.99325794701063,158.786070430767,131.2096532766,158.786070705227,7.99325549318106,158.785865213088,0.0000033446418653984,0.00000136559490091791,0.0000000207958614352981,0.473035559871392,0.00000334467988847174,0.276957128498843,2.4124813553441,4.26283128118979,7.24641055165769,3.548544,0.0000137129449990167,-0.0000272676776824632,-0.000112021144738073
10,0.99998528718416,0.00000902879302114343,0.00000559876247650554,0.000000082319165811222,7.99325792936189,7.72088748104584,7.99325794701063,158.786070354635,131.207037299543,158.786070705227,7.99325478867768,158.785807811101,0.00000427086079121353,0.00000174379629918162,0.0000000265552735915983,0.473026769050096,0.00000427092362852634,0.276948337677547,2.41243652215549,4.26274628944777,7.24626607372378,3.548544,0.0000179838057902302,-0.0000360813979916053,-0.000148171668823416
11,0.999981016406478,0.0000115292191302655,0.00000734255877568716,0.00000010887443940282,7.99325792446436,7.72069091544582,7.99325794701063,158.786070257345,131.203696907642,158.786070705227,7.9932538882087,158.78573449936,0.00000545349985819173,0.00000222672173398266,0.0000000339094680301928,0.473015543947436,0.00000545360338718166,0.276937112574886,2.41237927413192,4.26263776184014,7.24608158704128,3.548544,0.0000234373056484219,-0.0000473467546391326,-0.000194341810433318
12,0.999975563042131,0.0000147219522752978,0.00000956928050966982,0.000000142783907433013,7.99325791820459,7.72043992079512,7.99325794701063,158.786070132995,131.19943156061,158.786070705227,7.99325273697315,158.785640864711,0.00000696350125041118,0.00000284335744924869,0.0000000432998596332288,0.47300121072226,0.00000696367142135632,0.27692277934971,2.41230617468352,4.26249918291498,7.24584601595735,3.548544,0.0000304008068988331,-0.0000617493373655798,-0.000253310878195467
13,0.999968599761827,0.0000187985752705075,0.0000124126379589185,0.000000186083767066242,7.99325791020165,7.72011943184421,7.99325794701063,158.786069974017,131.193985242963,158.786070705227,7.99325126466274,158.785521267616,0.00000889140481944292,0.00000363070522381371,0.0000000552899272661986,0.472982909156544,0.00000889168402043893,0.276904477783995,2.41221283669838,4.26232223485862,7.24554522097436,3.548544,0.000039292211718276,-0.0000801687411788876,-0.00032863052983334
14,0.999959708717238,0.0000240036247077556,0.0000160433431827322,0.000000241373694332441,7.99325789996687,7.71971021736631,7.99325794701063,158.786069770703,131.187031143529,158.786070705227,7.99324938095994,158.785368499954,0.0000113527433289413,0.0000046359941837528,0.0000000705988961992813,0.472959541201007,0.0000113532007639635,0.276881109828458,2.41209366012514,4.26209629974008,7.24516115261252,3.548544,0.0000506449550472173,-0.000103734887513252,-0.000424840284241057
15,0.999948356561201,0.0000306491876654249,0.000020679337366485,0.000000311972590531722,7.99325788687252,7.71918773059469,7.99325794701063,158.786069510583,131.178152120036,158.786070705227,7.99324696965916,158.785173346448,0.0000144949112926068,0.00000591949997067521,0.000000090144669604191,0.472929705375465,0.0000144956598983316,0.276851274002916,2.41194149741487,4.26180782481432,7.24467077248533,3.548544,0.000065139866339824,-0.000133901571519601,-0.000547743722489891
16,0.999933862607318,0.0000391334969082458,0.0000265988373371602,0.000000402117260135913,7.993257870111,7.71852064399404,7.99325794701063,158.786069177616,131.166815799346,158.786070705227,7.99324388094812,158.784924022053,0.0000185059024820495,0.00000755813616757296,0.00000011509852031837,0.472891613173219,0.0000185071264951419,0.27681318180067,2.41174722718342,4.26143951353951,7.24404467810531,3.548544,0.0000836457688218735,-0.000172543026100147,-0.000704762809244919
17,0.999915358265487,0.0000499646040511157,0.0000341569735047332,0.000000517215780454283,7.99325784864126,7.71766898266034,7.99325794701063,158.786068751119,131.15234285687,158.786070705227,7.99323992120737,158.784605449335,0.0000236254124036821,0.00000965002646869588,0.000000146954717797399,0.472842982594485,0.0000236274122688385,0.276764551221936,2.41149921123188,4.26096929498798,7.24324535098007,3.548544,0.000107271181225556,-0.000222081536149776,-0.000905392985339759
18,0.999891735396796,0.0000637904915557416,0.0000438069999734291,0.000000664170498251682,7.99325782111794,7.71658174799094,7.99325794701063,158.786068204369,131.133866633745,158.786070705227,7.99323483942514,158.784198328907,0.0000301589261783641,0.0000123203204279226,0.000000187619092811005,0.472780902652405,0.0000301621916760777,0.276702471279856,2.41118260352727,4.26036901182349,7.24222492629745,3.548544,0.00013743010740392,-0.000285657395171501,-0.00116178858504679
19,0.999861580616066,0.0000814373327651666,0.0000561273204013517,0.000000851789591062686,7.99325778579716,7.71519389501968,7.99325794701063,158.786067502721,131.110281770345,158.786070705227,7.99322830894124,158.783677941391,0.0000384955624737963,0.0000157285828968018,0.000000239521566956372,0.472701661101824,0.0000385008917435123,0.276623229729275,2.4107784716193,4.25960275142094,7.24092235598676,3.548544,0.000175925669877716,-0.00036735729983528,-0.00148951733623948
20,0.999823091808198,0.000103958036169307,0.0000718559032981535,0.00000109131115801906,7.99325774040981,7.71342249184591,7.99325794701063,158.786066601102,131.080178940475,158.786070705227,7.99321990266082,158.783012599701,0.0000491306225418809,0.0000200781697307387,0.000000305758929909726,0.47260052567621,0.0000491393156893659,0.276522094303661,2.41026268094867,4.25862472539862,7.23925980412382,3.548544,0.000225056292419597,-0.00047252443897694,-0.00190853507709976
21,0.999773972189207,0.000132693726498997,0.0000919340730288922,0.00000139707008792879,7.99325768198974,7.71116184672465,7.99325794701063,158.786065440587,131.041762042226,158.786070705227,7.99320905901569,158.782161643783,0.0000626939995838009,0.0000256281020787279,0.000000390275666173521,0.472471466722089,0.0000627081733749477,0.27639303534954,2.40960448028265,4.25737657916679,7.2371380734177,3.548544,0.000287750292003398,-0.000608184335992856,-0.0024444486252051
22,0.999711296109857,0.000169351428104424,0.00011756217510762,0.00000178734575410231,7.99325760663779,7.70827733654822,7.99325794701063,158.78606394372,130.992743320578,158.786070705227,7.99319503463745,158.781072833361,0.000079985832140792,0.0000327080699378153,0.000000498092435601248,0.472306806243592,0.0000800089310304267,0.276228374871043,2.40876471184232,4.25578398447408,7.23443081286138,3.548544,0.00036773612414419,-0.000783636933865406,-0.00313015777286818
23,0.999631339451896,0.000216101923692565,0.000150270245045435,0.00000228543818970355,7.99325750919397,7.70459760893032,7.99325794701063,158.786062007999,130.930210851351,158.786070705227,7.99317683769446,158.779678943537,0.000102021021244546,0.0000417373323210149,0.000000635593893213425,0.4720967749907,0.000102058646241008,0.276018343618151,2.40769355245257,4.25375233396339,7.23097719888354,3.548544,0.000469757145388736,-0.00101129058568405,-0.0040079992991271
24,0.999529365904544,0.000275702544829867,0.00019200757736645,0.00000292103208291698,7.99325738277587,7.69990475907253,7.99325794701063,158.786059496703,130.850461609073,158.786070705227,7.99315313274848,158.777893297234,0.000130084443723617,0.0000532484326779254,0.000000810889837734904,0.471828955383385,0.000130145694724932,0.275750524010836,2.40632767245526,4.2511613175256,7.22657271566198,3.548544,0.000599841589112353,-0.00130785235005204,-0.00513256054360811
25,0.999399358667963,0.000351650458895444,0.000245256010044376,0.00000373192192065188,7.99325721812029,7.69392200396138,7.99325794701063,158.78605622582,130.748792005034,158.786070705227,7.99312210321222,158.77560386836,0.000165798825247564,0.0000679168043160808,0.00000103426605557483,0.471487583915996,0.000165898470726004,0.275409152543447,2.40458667797158,4.24785811681586,7.22095758644425,3.548544,0.000765640414359917,-0.00169604872165552,-0.00657439310640662
26,0.999233685311807,0.000448372744679299,0.000313172814360457,0.00000476618797622672,7.99325700263182,7.68629829530891,7.99325794701063,158.786051945142,130.619236403042,158.786070705227,7.99308125013447,158.772665447434,0.000211207184183669,0.0000865974810802175,0.00000131874336670382,0.471052682595004,0.000211369159475205,0.274974251222455,2.40236868123452,4.24364890948631,7.21380233154557,3.548544,0.000976847598543586,-0.00220714293910351,-0.00842494676284167
27,0.999022681833633,0.000571459998406309,0.000399770295440674,0.00000608493134293054,7.99325671899179,7.67658923962136,7.99325794701063,158.786046310632,130.454242879322,158.786070705227,7.99302709475754,158.768889158833,0.000268871349585929,0.000110370215378473,0.00000168076470119503,0.470498985643369,0.000269134379504213,0.27442055427082,2.39954482678118,4.23828833434589,7.20468986011562,3.548544,0.00124571894812952,-0.00288465615266853,-0.0108031712763412
28,0.998754140812325,0.000727950039634531,0.000510140510819147,0.00000776569604412556,7.99325634310269,7.66423364865099,7.99325794701063,158.786038843595,130.244274726142,158.786070705227,7.9929547351287,158.764028330397,0.000341987016941581,0.000140594272360787,0.00000214102952833686,0.469794626446172,0.000342413616091173,0.273716195073623,2.39595259487548,4.23146654370577,7.19309346034867,3.548544,0.0015877059650711,-0.00378991445657562,-0.0138644154142331
29,0.998412688629315,0.000926666920755489,0.000650734783179934,0.00000990672557246242,7.99325584102497,7.64852506078502,7.99325794701063,158.786028869821,129.97732649265,158.786070705227,7.99285718128317,158.757759308892,0.000434513704655354,0.000178973905283168,0.0000027254909433985,0.468899552712107,0.00043520450972221,0.272821121339558,2.39138771883175,4.22279347866757,7.17835006895868,3.548544,0.00202221966972645,-0.00501036611129102,-0.0178125089516645
30,0.997979039178554,0.0011786169752903,0.000829708688463102,0.0000126322165158609,7.99325516438501,7.62857771101733,7.99325794701063,158.786015428368,129.638345686179,158.786070705227,7.99272435561725,158.749655249539,0.000551314176732773,0.00022763484718842,0.0000034665205155597,0.467763648658617,0.000552430617367039,0.271685217286068,2.38559460815895,4.21178007872479,7.15962832927662,3.548544,0.00257353384645922,-0.0066720874188797,-0.022916269455342
31,0.99742911810199,0.00149743668415026,0.00105734353565152,0.0000160987370314206,7.99325424347089,7.60328677532306,7.99325794701063,158.785997134409,129.208557174026,158.786070705227,7.99254159098671,158.739150147549,0.000698291513739571,0.000289210810566277,0.00000440422554161843,0.466324567262638,0.000700091365959269,0.270246135890089,2.37825529303945,4.19781632917379,7.13589127392247,3.548544,0.00327182536019879,-0.00895857232938724,-0.0295321544450777
32,0.996733065054943,0.00189987469508956,0.0013465543462178,0.000020502962573039,7.99325297685761,7.57128341350705,7.99325794701063,158.785971973136,128.664699191662,158.786070705227,7.99228738537849,158.725489412285,0.000882501906089264,0.000366936583267297,0.0000055878667502634,0.464505321519462,0.00088539443209965,0.268426890146913,2.36897713974926,4.18014643520424,7.1058541231038,3.548544,0.00415432726628806,-0.0121388227182218,-0.0381353887084601
33,0.995854145591691,0.00240626970832412,0.0017134909294851,0.0000260908293233024,7.9932512158904,7.53088638372912,7.99325794701063,158.785936991522,127.978201090779,158.786070705227,7.99193007887151,158.707662175161,0.00111220616357519,0.000464740326019463,0.00000707726384801212,0.462211762766114,0.00111683640470701,0.266133331393565,2.35727999010718,4.1578421010383,7.06793886167628,3.548544,0.00526653342986325,-0.0166089214139742,-0.0493625953175814
34,0.994747643799082,0.00304095391106598,0.00217823125550456,0.0000331680931713146,7.99324874170119,7.48005407198678,7.99325794701063,158.785887841753,127.11436813904,158.786070705227,7.99142301608591,158.684309516223,0.00139680197185199,0.000587321490666665,0.00000894398209137053,0.459330201213854,0.00140417721073197,0.263251769841305,2.34258402619065,4.12977603525393,7.02022920069559,3.548544,0.00666333540171524,-0.0229525525885843,-0.064069592534588
35,0.993359867114429,0.00383246512296033,0.00276555274617122,0.0000421120752626851,7.99324523170004,7.41634399505368,7.99325794701063,158.785818115579,126.031693322053,158.786070705227,7.99069767734172,158.653602505885,0.00174655252533852,0.000740191793356064,0.000011271956244001,0.455725615055152,0.00175822738884349,0.259647183682603,2.32420063678128,4.09459957854529,6.96043254672333,3.548544,0.00840988792705376,-0.032026934697682,-0.0834082004758985
36,0.991627479872636,0.00481338861515362,0.00350574453952729,0.0000533840315066861,7.99324021187199,7.3368915051613,7.99325794701063,158.785718396694,124.681495455494,158.786070705227,7.98965427775756,158.613085664554,0.00217199907120717,0.000929644663907121,0.0000141570253386871,0.451241161864478,0.00219033771783547,0.255162730491929,2.30132992550884,4.05073092867503,6.88585998535795,3.548544,0.0105818869982609,-0.0450804308675501,-0.108924826839008
