time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99308095023247,7.72159723247006,7.99325794701063,158.782554664194,131.219098656715,158.786070705227,7.99308067874875,158.782527100738,0.000000473058486138505,0.000000193137254901961,0.00000000294117647058824,0.473058486138505,0.000000473058959197465,0.276980054765956,2.41259827930638,4.26304375692439,7.24677174033809,3.548544,0.000000473058486138505,0,0
2,0.999998526941514,0.00000127698005476596,0.000000193137254901961,0,7.99308095023247,7.72159723247006,7.99325794701063,158.782554664194,131.219098656715,158.786070705227,7.9930805800783,158.782518999882,0.000000604085965768236,0.000000246632422342052,0.00000000375582369048811,0.47305826235395,0.000000604086855623505,0.276979830981401,2.41259713800515,4.26304375692439,7.24677174033809,3.548544,0.00000107714445190674,-0.00000123444834354558,-0.00000510185603763702
3,0.999997922858617,0.0000016306747050584,0.000000439769677244013,0.00000000375582369048811,7.99302781478124,7.72159723247005,7.99325794701063,158.781499128444,131.219098656714,158.786070705227,7.99302731873815,158.781453121786,0.000000771399756839348,0.000000314944036173043,0.00000000479610207370117,0.473055572914969,0.000000771401359149034,0.27697714154242,2.41258342186634,4.26301541757,7.24672356611229,3.548544,0.00000184854420874609,-0.000667577530499841,-0.000676383586728502
4,0.999997151463866,0.00000208232931843803,0.000000754713713417057,0.00000000855192576418928,7.99295996251347,7.72159723247003,7.99325794701063,158.780151243132,131.219098656714,158.786070705227,7.99295930580789,158.780092031535,0.000000985050337339327,0.000000402175368364992,0.00000000612449799540597,0.473052138591709,0.0000009850531432988,0.27697370721916,2.41256590681772,4.26297922912297,7.24666204917036,3.548544,0.00000283359454608542,-0.00151847511299374,-0.00153358763544942
5,0.99999616642169,0.00000265907162768618,0.00000115688908178205,0.0000000146764237595953,7.99287331774872,7.72159723247001,7.99325794701063,158.778430044863,131.219098656714,158.786070705227,7.99287245603591,158.778353974171,0.00000125786785880422,0.000000513565794758998,0.00000000782079890495935,0.473047753098238,0.00000125787268095765,0.276969321725689,2.41254354080101,4.26293301785278,7.2465834943757,3.548544,0.00000409146240488964,-0.00260503704658799,-0.00262820263839947
6,0.99999490856714,0.00000339553958405947,0.00000167045487654105,0.0000000224972226645546,7.99276267634216,7.72159723246998,7.99325794701063,158.776232153299,131.219098656713,158.786070705227,7.9927615530934,158.776134559383,0.00000160623335555671,0.000000655805194176192,0.00000000998688112958667,0.473042153034308,0.00000160624153362763,0.276963721661759,2.41251498047497,4.26287400817171,7.24648318349137,3.548544,0.00000569769576044635,-0.00399252388629812,-0.00402597280120265
7,0.999993302355486,0.00000433595916289402,0.00000232626007071724,0.0000000324841037941413,7.99262139339955,7.72159723246995,7.99325794701063,158.773425567616,131.219098656713,158.786070705227,7.99261993658979,158.773300498003,0.00000205106045164222,0.000000837435250088354,0.0000000127528210673353,0.47303500208089,0.00000205107418900801,0.27695657070834,2.41247851061254,4.26279865608027,7.24635509205297,3.548544,0.00000774875621208857,-0.0057642625850951,-0.00581084260542486
8,0.99999125133042,0.00000553679615737229,0.00000316369532080559,0.0000000452369248614766,7.99244098467404,7.7215972324699,7.99325794701063,158.769841748248,131.219098656712,158.786070705227,7.99243910259138,158.769681607514,0.00000261904782393736,0.00000106936161078661,0.0000000162846945805067,0.473025870827858,0.00000261907073732185,0.276947439455308,2.41243194122207,4.26270243657543,7.24619152798272,3.548544,0.0000103678040360259,-0.00802664433348088,-0.0080899916750421
9,0.999988632340295,0.00000707013997718891,0.0000042330569315922,0.0000000615216194419834,7.99221061784992,7.72159723246984,7.99325794701063,158.765265511241,131.219098656711,158.786070705227,7.99220819380857,158.765060609602,0.00000334427668318302,0.00000136550742696688,0.0000000207945293446733,0.47301421103019,0.00000334431470021448,0.276935779657641,2.41237247625397,4.262579572331,7.24598267037177,3.548544,0.000013712080719209,-0.0109155027360974,-0.0110002602011772
10,0.99998528815769,0.00000902802062558728,0.00000559856435855908,0.0000000823161487866566,7.99191646339958,7.72159723246977,7.99325794701063,158.759422133027,131.21909865671,158.786070705227,7.99191334909295,158.759160112209,0.00000427024764176194,0.00000174364712082421,0.0000000265530018399626,0.472999322759539,0.00000427031046589612,0.27692089138699,2.41229654607365,4.26242268748257,7.24571598094728,3.548544,0.0000179823283609709,-0.0146042521365519,-0.0147163475450629
11,0.99998101806344,0.0000115279147536405,0.00000734221147938329,0.000000108869150626619,7.99154086642093,7.72159723246968,7.99325794701063,158.751960898971,131.219098656708,158.786070705227,7.9915368736041,158.751626002815,0.00000545247672264702,0.00000222646981026194,0.0000000339056316283543,0.472980312499721,0.00000545258022317891,0.276901881127172,2.41219959374858,4.2622223659338,7.24537545323483,3.548544,0.0000234348050836179,-0.0193142695126269,-0.019461271014265
12,0.999975565836804,0.000014719765947023,0.00000956868128964522,0.000000142774782254974,7.99106129036392,7.72159723246956,7.99325794701063,158.742434120504,131.219098656706,158.786070705227,7.99105618051001,158.742006269686,0.00000696180220768163,0.00000284293518780738,0.00000004329342925595,0.472956039704532,0.0000069619723176494,0.276877608331983,2.41207580249311,4.26196658800173,7.24494065490866,3.548544,0.0000303966072912995,-0.0253281346718648,-0.025519704082877
13,0.999968604442315,0.0000187949318190016,0.0000124116164774526,0.000000186068211510924,7.99044897026897,7.7215972324694,7.99325794701063,158.730270381696,131.219098656703,158.786070705227,7.99044244181296,158.72972400216,0.00000888859404517116,0.00000363000153759149,0.0000000552792112323577,0.472925048665769,0.00000888887311629983,0.27684661729322,2.41191774819542,4.26164001213255,7.2443855067763,3.548544,0.0000392852013364707,-0.0330065095278331,-0.0332549805963756
14,0.999959716512931,0.0000239975804545767,0.0000160416180150441,0.000000241347422743281,7.98966719636958,7.72159723246921,7.99325794701063,158.714740443029,131.2190986567,158.786070705227,7.98965886915589,158.714042986204,0.0000113481073927472,0.00000463482681328588,0.000000070581118984049,0.47288548169376,0.0000113485645525007,0.276807050321211,2.41171595663818,4.26122305947528,7.24367672664031,3.548544,0.0000506333087292179,-0.0428096466229433,-0.0431307624230715
15,0.999948369488971,0.0000306391964819644,0.00002067644482833,0.00000031192854172733,7.98866912781514,7.72159723246895,7.99325794701063,158.694913810997,131.219098656696,158.786070705227,7.98865852443734,158.694023890676,0.0000144872835049497,0.00000591757030092842,0.0000000901152837704836,0.472834968550091,0.0000144880315294214,0.276756537177542,2.41145833960546,4.26069074784882,7.24277184715239,3.548544,0.0000651205922341677,-0.055324780133581,-0.0557386330082843
16,0.999933883971327,0.0000391170285418859,0.0000265940151292584,0.000000402043825497814,7.98739500984718,7.72159723246864,7.99325794701063,158.66960345731,131.21909865669,158.786070705227,7.98738153377179,158.668468513653,0.0000184933765845845,0.00000755495551250149,0.000000115050083946723,0.472770485743366,0.000018494599374047,0.276692054370817,2.41112947729117,4.26001120754588,7.24161669282029,3.548544,0.0000836139688187522,-0.0713009815116572,-0.0718332105979713
17,0.999915393472469,0.0000499375218030378,0.0000341489706417599,0.000000517093909444537,7.98576863486368,7.72159723246823,7.99325794701063,158.63729551794,131.219098656684,158.786070705227,7.98575154567093,158.635848904696,0.0000236048761773056,0.00000964479587764554,0.000000146875064126582,0.472688177647408,0.000023606873472896,0.276609746274859,2.41070970600178,4.25914379387088,7.24014217150041,3.548544,0.000107218844996058,-0.0916934705451622,-0.092376786488757
18,0.999891793285127,0.0000637460382037111,0.0000437937665194054,0.000000663968973571119,7.98369284715939,7.72159723246771,7.99325794701063,158.596059994782,131.219098656675,158.786070705227,7.98367123408827,158.594217373921,0.0000301253022190111,0.0000123117348295403,0.000000187488347657974,0.472583129366263,0.0000301285623317649,0.276504697993714,2.41017395976794,4.25803668963024,7.23826019885783,3.548544,0.000137344147215069,-0.117719875960942,-0.118596000614812
19,0.999861675620929,0.0000813644792243067,0.0000561055013489457,0.000000851457321229093,7.98104384143781,7.72159723246705,7.99325794701063,158.543437495597,131.219098656663,158.786070705227,7.98101659798623,158.54109241878,0.0000384405732558535,0.0000157145121639102,0.000000239307291836196,0.472449078791249,0.0000384458912598898,0.2763706474187,2.40949030183537,4.25662386429084,7.23585852922285,3.548544,0.000175784720470922,-0.15093155251884,-0.152053683970288
