time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,8.1261320072194,7.98511026631902,8.12675870904332,161.42561393767,135.697180295129,161.438063369526,8.12613186619766,161.425588209236,0.000000491622267888671,0.000000193137254901961,0.00000000294117647058824,0.491622267888671,0.000000491622759511431,0.295543836516122,2.50727356623222,4.48191096893142,7.61882532864173,3.548544,0.000000491622267888671,0,0
2,0.999998508377732,0.00000129554383651612,0.000000193137254901961,0,8.1261320072194,7.98511026631902,8.12675870904332,161.42561393767,135.697180295129,161.438063369526,8.12613180074021,161.425580132979,0.000000636917885933763,0.000000250217780189879,0.00000000381042304857683,0.491622026195975,0.000000636918835976082,0.295543594823426,2.50727233359947,4.48191096893142,7.61882532864173,3.548544,0.00000112854015382243,-0.000000805517996749217,-0.00000500308336981448
3,0.9999978714716,0.00000167842176508146,0.000000443355035091839,0.00000000381042304857683,8.12593806449626,7.98511026631902,8.12675870904332,161.421761265436,135.697180295129,161.438063369526,8.12593777362857,161.421717006112,0.00000082513335554601,0.000000324165772275537,0.00000000493653460318077,0.491612640346071,0.000000825135111869529,0.295534208973522,2.50722446576496,4.4818040011862,7.618643493578,3.548544,0.00000195367350936844,-0.00238849888587467,-0.00239813474877115
4,0.999997046357973,0.00000217443308599549,0.000000767520807367377,0.0000000087469576517576,8.12568681111521,7.98511026631902,8.12675870904332,161.416770116971,135.697180295129,161.438063369526,8.1256864112895,161.416712321126,0.000001068952350905,0.000000419964037197169,0.00000000639539142939851,0.491600480966568,0.00000106895550821692,0.295522049594019,2.5071624529295,4.48166542415059,7.61840792570613,3.548544,0.00000302262586027345,-0.00548175830142883,-0.00549843937881489
5,0.999995977438731,0.00000281699289870916,0.00000118748484456455,0.0000000151423490811561,8.12536131697649,7.98511026631902,8.12675870904332,161.410304175841,135.697180295129,161.438063369526,8.12536077661448,161.41022885625,0.0000013847906899824,0.000000544066275535005,0.00000000828527323149753,0.491584728742823,0.0000013847962604102,0.295506297370274,2.5070821165884,4.48148590014712,7.61810275185636,3.548544,0.00000440741655025585,-0.00948901144943726,-0.00951481927765618
6,0.999994592703608,0.00000364937647321499,0.00000173155112009955,0.0000000234276223126536,8.12493965431608,7.98511026631902,8.12675870904332,161.401927847008,135.697180295129,161.438063369526,8.12493893293089,161.401829847303,0.0000017939032736448,0.000000704830554140543,0.0000000107334602153382,0.491564322511353,0.00000179391297386395,0.295485891138804,2.5069780448079,4.48125333507173,7.61770741319407,3.548544,0.00000620131982390065,-0.0146802105407073,-0.014717841326628
7,0.999992798893586,0.00000472762248076457,0.00000243638167424009,0.0000000341610825279919,8.12439342489687,7.98511026631902,8.12675870904332,161.391076999487,135.697180295129,161.438063369526,8.12439247074807,161.390949654947,0.00000232380556942094,0.000000913080028147667,0.0000000139047720022487,0.491537887992512,0.00000232382230351263,0.295459456619963,2.50684322876181,4.48095206607643,7.61719528435706,3.548544,0.00000852512539332159,-0.0214049621423351,-0.0214579080513588
8,0.999990475244502,0.00000612428676434111,0.00000334946170238776,0.0000000480658545302406,8.12368585484116,7.98511026631902,8.12675870904332,161.37702112019,135.697180295129,161.438063369526,8.12368460209183,161.376855822577,0.00000301010927140744,0.00000118282793389725,0.000000018012608130415,0.491503645605545,0.00000301013794223536,0.295425214232995,2.50666859258828,4.48056181078755,7.61653188722575,3.548544,0.000011535234664729,-0.0301159782553961,-0.0301887620171915
9,0.99998746539781,0.00000793329291439357,0.00000453228963628502,0.0000000660784626606557,8.12276933131891,7.98511026631902,8.12675870904332,161.358814380238,135.697180295129,161.438063369526,8.12276769667963,161.358600021231,0.00000389889051324804,0.00000153221441581915,0.0000000233332144540987,0.491459291282966,0.00000389893938490219,0.295380859910417,2.50644238554312,4.48005630868347,7.61567258139372,3.548544,0.0000154341251779771,-0.0413993960892922,-0.0414978744995076
10,0.999983566947857,0.0000102761952372155,0.00000606450405210417,0.0000000894116771147544,8.12158221948679,7.98511026631902,8.12675870904332,161.335232403457,135.697180295129,161.438063369526,8.1215800984159,161.334954665678,0.00000504974127315615,0.0000019847161389524,0.0000000302241036388691,0.491401842470684,0.00000504982425718148,0.295323411098135,2.50614939660049,4.47940156549975,7.61455957982219,3.548544,0.0000204838664511332,-0.0560139541999516,-0.0561457105799024
