time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,8.12662161023737,7.98511023721459,8.12675870904332,161.435339901719,135.697179800535,161.438063369526,8.126621468726,161.435314163559,0.00000049164517038971,0.000000193137254901961,0.00000000294117647058824,0.49164517038971,0.000000491645662035372,0.295566739017161,2.50739036898752,4.48218098969647,7.61928433843873,3.548544,0.00000049164517038971,0,0
2,0.99999850835483,0.00000129556673901716,0.000000193137254901961,0,8.12662161023737,7.98511023721459,8.12675870904332,161.435339901719,135.697179800535,161.438063369526,8.12662140302459,161.435306081931,0.00000063695881699714,0.00000025022220351606,0.000000003810490408874,0.491644928674495,0.000000636959767115101,0.295566497301946,2.50738913623992,4.48218098969647,7.61928433843873,3.548544,0.00000112860398738685,-0.000000808471312119252,-0.00000500610904952126
3,0.999997871398987,0.00000167848988765582,0.000000443359458418021,0.000000003810490408874,8.12657253305806,7.98511023721441,8.12675870904332,161.434364983542,135.697179800532,161.438063369526,8.12657224082966,161.434320695626,0.000000825216661900092,0.000000324178929282546,0.0000000049367349636936,0.491642319664249,0.000000825218418460854,0.2955638882917,2.50737583028767,4.48215392152331,7.61923832510096,3.548544,0.00000195382064928694,-0.000605760912164577,-0.000615396908787425
4,0.999997046187318,0.00000217458589279909,0.000000767538387700567,0.0000000087472253725676,8.12650895084279,7.98511023721419,8.12675870904332,161.433101922823,135.697179800528,161.438063369526,8.12650854856494,161.433044074763,0.00000106911110229776,0.000000419993549883746,0.0000000063958408611738,0.491638939550746,0.00000106911426026102,0.295560508178197,2.5073585917088,4.48211885319957,7.61917871226282,3.548544,0.0000030229317515847,-0.00138950929962078,-0.00140619096096195
5,0.999995977084595,0.0000028172992246112,0.00000118753193758431,0.0000000151430662337414,8.1264265769171,7.98511023721389,8.12675870904332,161.431465564773,135.697179800523,161.438063369526,8.12642603222083,161.431390152059,0.00000138508166595558,0.00000054412543847883,0.00000000828617419003294,0.491634560452745,0.00000138508723804437,0.295556129080196,2.507336258309,4.48207342044007,7.61910148086281,3.548544,0.00000440801341754028,-0.00240489243801267,-0.00243070205563356
6,0.999994592016994,0.00000364995521295074,0.00000173165737606314,0.0000000234292404237743,8.12631985801654,7.98511023721351,8.12675870904332,161.429345593792,135.697179800517,161.438063369526,8.12631912907324,161.429247430676,0.00000179442341952175,0.000000704942330344408,0.0000000107351623910316,0.491628887158613,0.00000179443312378559,0.295550455786064,2.50730732450893,4.48201456038087,7.61900142432153,3.548544,0.00000620243683706204,-0.00372036096326633,-0.00375799614460437
7,0.999992797617181,0.0000047286775327607,0.00000243659970640755,0.0000000341644028148059,8.12618160021602,7.98511023721301,8.12675870904332,161.426599102557,135.697179800508,161.438063369526,8.12618063301455,161.426471474537,0.00000232471971778012,0.000000913283797993979,0.000000013907875096355,0.49162153724255,0.00000232473646142207,0.295543105870001,2.507269839937,4.48193830526317,7.61887179782377,3.548544,0.00000852715655484216,-0.0054245877348591,-0.00547754316818638
8,0.999990472937086,0.00000612616595550429,0.00000334988350440153,0.0000000480722779111609,8.1260024844979,7.98511023721238,8.12675870904332,161.423040968781,135.697179800497,161.438063369526,8.12600120936642,161.422875183463,0.00000301169679154246,0.00000118319087571995,0.0000000180181351632479,0.491612015315466,0.00000301172548444063,0.295533583942917,2.50722127810888,4.48183951524831,7.61870386412927,3.548544,0.0000115388533463846,-0.0076324381782289,-0.00770524104988235
9,0.999987461306794,0.00000793658723604692,0.00000453307438012148,0.0000000660904130744089,8.12577043947777,7.98511023721154,8.12675870904332,161.41843139441,135.697179800483,161.438063369526,8.12576876666086,161.418216201475,0.00000390162374303187,0.00000153285067206004,0.0000000233429036354321,0.491599679684892,0.0000039016726649084,0.295521248312343,2.50715836639295,4.48171153244911,7.61848630545865,3.548544,0.0000154404770894165,-0.0104927006680411,-0.0105912155415222
10,0.99998355979466,0.0000102819057948084,0.00000606592505218152,0.000000089433316709841,8.12546982930052,7.98511023721047,8.12675870904332,161.412459773179,135.697179800465,161.438063369526,8.1254676433685,161.412180616008,0.00000505441728537263,0.00000198581906036985,0.0000000302408993964952,0.49158369919366,0.00000505450038239681,0.295505267821111,2.50707686588766,4.48154573301961,7.61820446208834,3.548544,0.0000204948943747891,-0.0141980940288056,-0.0143299176329714
