time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,8.12662254766952,7.98511026631894,8.12675870904332,161.435358523809,135.697180295128,161.438063369526,8.12662240615724,161.43533278563,0.000000491645215628925,0.000000193137254901961,0.00000000294117647058824,0.491645215628925,0.000000491645707274632,0.295566784256376,2.50739059970752,4.48218152306736,7.61928524511886,3.548544,0.000000491645215628925,0,0
2,0.999998508354784,0.00000129556678425638,0.000000193137254901961,0,8.12662254766952,7.98511026631894,8.12675870904332,161.435358523809,135.697180295128,161.438063369526,8.12662234045538,161.435324703992,0.000000636958897849137,0.000000250222212253437,0.00000000381049054193052,0.491644973913665,0.000000636959847967247,0.295566542541116,2.50738936695969,4.48218152306736,7.61928524511886,3.548544,0.00000112860411347806,-0.000000808476863234375,-0.00000500611477827206
3,0.999997871398854,0.00000167849001135374,0.000000443359467155398,0.00000000381049054193052,8.1265735773627,7.98511026631892,8.12675870904332,161.434385728654,135.697180295127,161.438063369526,8.12657328513211,161.434341440691,0.000000825216807040286,0.000000324178953173223,0.00000000493673532751101,0.491642369902892,0.000000825218563601466,0.295563938530343,2.50737608650475,4.48215451383896,7.61923933198161,3.548544,0.00000195382092051835,-0.000604445766994033,-0.000614081764138685
4,0.999997046187029,0.00000217458614825398,0.000000767538420328621,0.00000000874722586944153,8.12651013360335,7.98511026631889,8.12675870904332,161.433125418362,135.697180295127,161.438063369526,8.12650973132203,161.433067570227,0.00000106911135122218,0.000000419993599221601,0.00000000639584161251169,0.491638996266297,0.00000106911450918648,0.295560564893748,2.50735888095812,4.48211952187959,7.61917984895568,3.548544,0.00000302293227174053,-0.0013864903471994,-0.00140317200990614
5,0.999995977084039,0.00000281729969714744,0.00000118753201955022,0.0000000151430674819532,8.12642793904911,7.98511026631885,8.12675870904332,161.431492623525,135.697180295126,161.438063369526,8.12642739434737,161.431417210692,0.00000138508208169504,0.000000544125529743182,0.00000000828617557984541,0.491634625559168,0.00000138508765378627,0.295556194186619,2.50733659035176,4.48207418805113,7.61910278572911,3.548544,0.00000440801435343556,-0.00239966618514886,-0.00242547580586727
6,0.999994592015992,0.00000364995603919568,0.0000017316575492934,0.0000000234292430617986,8.12632145252403,7.98511026631881,8.12675870904332,161.429377268684,135.697180295126,161.438063369526,8.12632072357208,161.429279105377,0.00000179442410303929,0.000000704942489923087,0.0000000107351648211638,0.491628963135324,0.00000179443380730862,0.295550531762775,2.50730771199015,4.48201545615697,7.61900294705629,3.548544,0.00000620243845647485,-0.00371227516280381,-0.00374991035055894
7,0.999992797615444,0.00000472867893191003,0.00000243660003921649,0.0000000341644078829624,8.12618349576125,7.98511026631875,8.12675870904332,161.426636757564,135.697180295125,161.438063369526,8.12618252854602,161.426509129237,0.00000232472083149134,0.00000091328406822184,0.0000000139078792115001,0.491621627301376,0.00000232473757514535,0.295543195928827,2.50727029923702,4.48193936707448,7.6188736028027,3.548544,0.00000852715928796619,-0.00541279746050227,-0.00546575290610862
8,0.999990472934149,0.00000612616828027728,0.00000334988410743833,0.0000000480722870944625,8.12600477002407,7.98511026631867,8.12675870904332,161.423086370759,135.697180295123,161.438063369526,8.12600349487059,161.42292058495,0.00000301169859790128,0.00000118319132472022,0.0000000180181420008155,0.491612123616847,0.0000030117272908255,0.295533692244298,2.50722183044592,4.48184079215082,7.61870603474293,3.548544,0.0000115388578858675,-0.00761584894334311,-0.00768865183753409
9,0.999987461301906,0.00000793659105609462,0.00000453307543215855,0.000000066090429095278,8.12577323019454,7.98511026631856,8.12675870904332,161.418486831999,135.697180295121,161.438063369526,8.1257715573422,161.418271638273,0.00000390162666806357,0.00000153285140985357,0.0000000233429148708665,0.491599811617792,0.00000390167558999585,0.295521380245243,2.50715903925074,4.48171308798588,7.61848894972424,3.548544,0.000015440484553931,-0.010469894779408,-0.0105684096929015
10,0.999983559786604,0.0000102819120337721,0.00000606592684201212,0.0000000894333439661445,8.12547327443249,7.98511026631843,8.12675870904332,161.412528210727,135.697180295119,161.438063369526,8.12547108844304,161.412249052271,0.00000505442202361106,0.00000198582026534619,0.0000000302409177463887,0.491583861737896,0.00000505450512075385,0.295505430365347,2.50707769486327,4.48154764949441,7.61820771991449,3.548544,0.0000204949065775421,-0.0141672352504951,-0.014299058924172
11,0.999978505551481,0.0000133200859732268,0.00000805174710735831,0.000000119674261712533,8.12508469528187,7.98511026631825,8.12675870904332,161.404809085822,135.697180295116,161.438063369526,8.12508184802836,161.40444713503,0.00000654766407930877,0.00000257260483992713,0.000000039176723450667,0.491563199552128,0.0000065478048207624,0.295484768179579,2.50697231771585,4.48133333139612,7.61784339938984,3.548544,0.0000270425706568509,-0.0189569300982684,-0.019131902581071
12,0.999971958201057,0.0000172556548335395,0.0000106243519472854,0.0000001588509851632,8.12458132236729,7.98511026631803,8.12675870904332,161.394809582774,135.697180295112,161.438063369526,8.12457762434263,161.394340500482,0.00000848178303688871,0.00000333270980608557,0.0000000507519259809986,0.491536433633502,0.00000848202088801308,0.295458002260953,2.50683581153086,4.48105569960447,7.61737145156648,3.548544,0.0000355243536937396,-0.0251615211389389,-0.0253923874293904
