time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,8.12675832127593,7.98494714141944,8.12675870904332,161.438055666527,135.694408187022,161.438063369526,8.12675817946475,161.438029922879,0.000000491643800753347,0.000000193137254901961,0.00000000294117647058824,0.491643800753347,0.000000491644292397639,0.295565369380798,2.50738338384207,4.48216484166714,7.61925688831404,3.548544,0.000000491643800753347,0,0
2,0.999998508356199,0.0000012955653693808,0.000000193137254901961,0,8.12675832127593,7.98494714141944,8.12675870904332,161.438055666527,135.694408187022,161.438063369526,8.12675811364812,161.438021839132,0.000000636956369170672,0.000000250221938988252,0.00000000381048638053176,0.491643559039478,0.000000636957319284109,0.295565127666929,2.50738215110134,4.48216484166714,7.61925688831404,3.548544,0.00000112860016992402,-0.000000809875544405259,-0.00000500733750019577
3,0.999997871402811,0.00000167848633228148,0.000000443359193890213,0.00000000381048638053176,8.12675820666912,7.98489892734822,8.12675870904332,161.438053389863,135.693588847865,161.438063369526,8.12675791369135,161.43800908816,0.000000825212606634116,0.000000324178242607306,0.00000000493672450671025,0.491640945036738,0.00000082521436318309,0.295562513664189,2.50736881968736,4.48213771460783,7.61921077487538,3.548544,0.00000195381277655814,-0.00000327034956892902,-0.0000129057073139371
4,0.999997046195208,0.00000217457896844625,0.000000767537436497519,0.00000000874721088724201,8.12675805819236,7.98483646340458,8.12675870904332,161.438050440372,135.692527349558,161.438063369526,8.12675765458444,161.437992567758,0.0000010691046947233,0.000000419992212533246,0.00000000639582049543015,0.491637558459044,0.0000010691078526592,0.295559127086495,2.50735154814112,4.4821025700341,7.61915103241947,3.548544,0.00000302291747128144,-0.00000645866771176173,-0.0000231389849059127
5,0.999995977098911,0.00000281728723221648,0.00000118752964903077,0.0000000151430313826722,8.12675786583785,7.98475553834307,8.12675870904332,161.438046619249,135.691152127139,161.438063369526,8.12675731881153,161.437971163393,0.00000138507185556843,0.000000544123122300634,0.00000000828613891828376,0.491633170991492,0.00000138507742759792,0.295554739618943,2.50732917205661,4.48205703854255,7.6190736331843,3.548544,0.00000440798932684987,-0.0000105903633307314,-0.0000363975492523316
6,0.999994592041151,0.00000364993573113076,0.0000017316527713314,0.0000000234291703009559,8.126757616642,7.98465069662199,8.12675870904332,161.438041668974,135.689370470348,161.438063369526,8.12675688365735,161.437943430839,0.00000179440873070039,0.000000704938567679176,0.0000000107351050915611,0.491627486861111,0.00000179441843484144,0.295549055488562,2.50730018299167,4.48199805064354,7.61897335932743,3.548544,0.00000620239805755025,-0.0000159449483838614,-0.0000535760008357755
7,0.999992797656078,0.00000472864713096767,0.00000243659133901058,0.000000034164275392517,8.12675729381324,7.98451487091906,8.12675870904332,161.43803525598,135.687062278691,161.438063369526,8.12675631965545,161.437907498553,0.00000232469808375069,0.000000913277926275128,0.0000000139077856793167,0.491620122915572,0.00000232471482714639,0.295541691543023,2.50726262686942,4.48192163000206,7.61884345145487,3.548544,0.00000852709614130094,-0.000022885008432727,-0.0000758336350492606
8,0.999990472997702,0.00000612611979512023,0.0000033498692652857,0.0000000480720610718336,8.1267568756031,7.98433890623001,8.12675870904332,161.438026948236,135.684071974069,161.438063369526,8.12675558856752,161.437860941068,0.00000301166532293839,0.00000118318196043008,0.0000000180179993974125,0.491610582825581,0.00000301169401535419,0.295532151453032,2.50721397241046,4.48182262567983,7.61867515345808,3.548544,0.0000115387614642393,-0.0000318810670751901,-0.000104672865108846
9,0.999987461399023,0.00000793651851445099,0.00000453305122571579,0.0000000660900604692461,8.12675633384542,7.98411094364152,8.12675870904332,161.438016186219,135.680198028759,161.438063369526,8.12675464074837,161.437800614767,0.0000039015784039247,0.00000153283739935965,0.0000000233427015130911,0.491598223682162,0.00000390162732487289,0.295519792309613,2.50715094077903,4.48169436542662,7.61845712314186,3.548544,0.000015440339868164,-0.0000435440098645046,-0.00014204095084569
10,0.999983559932468,0.0000102818049681112,0.00000606588862507544,0.0000000894327619823373,8.12675563206649,7.9838156225314,8.12675870904332,161.438002245381,135.675179407777,161.438063369526,8.12675341170343,161.437722444768,0.00000505435243733418,0.00000198579958697833,0.0000000302406028473858,0.491582212754489,0.00000505443553259567,0.295503781381939,2.50706928504789,4.48152820681442,7.61817466919489,3.548544,0.0000204946923054982,-0.0000586674442359936,-0.000190462006977032
