time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,8.12675763154419,7.98494728629633,8.12675870904332,161.438041965006,135.694410649027,161.438063369526,8.12675748973385,161.438016221374,0.000000491643775385634,0.000000193137254901961,0.00000000294117647058824,0.491643775385634,0.000000491644267029901,0.295565344013085,2.50738325446673,4.48216454258149,7.6192563798967,3.548544,0.000000491643775385634,0,0
2,0.999998508356225,0.00000129556534401309,0.000000193137254901961,0,8.12675763154419,7.98494728629633,8.12675870904332,161.438041965006,135.694410649027,161.438063369526,8.12675742391761,161.438008137636,0.000000636956323833302,0.000000250221934088802,0.00000000381048630592084,0.49164353367179,0.000000636957273946655,0.295565102299241,2.50738202172613,4.48216454258149,7.6192563798967,3.548544,0.00000112860009921894,-0.000000809870892570785,-0.00000500733289277022
3,0.999997871402891,0.0000016784862568369,0.000000443359188990763,0.00000000381048630592084,8.12675731307144,7.98489911505012,8.12675870904332,161.438035638544,135.693592037629,161.438063369526,8.1267570200959,161.437991336887,0.000000825212514378631,0.000000324178228036147,0.00000000493672428481442,0.491640912171506,0.000000825214270927342,0.295562480798957,2.50736865207468,4.48213732712545,7.61921011619194,3.548544,0.00000195381261359757,-0.00000577890938435743,-0.0000154142675068414
4,0.999997046195397,0.00000217457879923569,0.000000767537417026909,0.00000000874721059073525,8.12675690047181,7.9848367065916,8.12675870904332,161.438027442253,135.692531482224,161.438063369526,8.12675649686788,161.437969569721,0.00000106910451894268,0.000000419992179852383,0.00000000639581999775203,0.491637515880522,0.00000106910767687786,0.295559084507973,2.50735133099066,4.48210206803074,7.61915017906116,3.548544,0.00000302291713254025,-0.0000122172462035941,-0.0000288975638973454
5,0.999995977099303,0.00000281728689303984,0.00000118752959687929,0.0000000151430305884873,8.12675636592753,7.98475585341878,8.12675870904332,161.438016823531,135.691157481465,161.438063369526,8.12675581890819,161.437941367818,0.00000138507153341006,0.000000544123056792989,0.00000000828613792070541,0.491633115829241,0.00000138507710543771,0.295554684456692,2.50732889072913,4.4820563881747,7.61907252762039,3.548544,0.00000440798866595031,-0.0000205595609870102,-0.0000463667470085305
6,0.999994592041911,0.00000364993509037385,0.00000173165265367228,0.0000000234291685091927,8.12675567340105,7.98465110484088,8.12675870904332,161.438003066492,135.689377407529,161.438063369526,8.1267549404285,161.437904828608,0.00000179440815484601,0.000000704938443925147,0.0000000107351032069819,0.491627415396643,0.00000179441785898258,0.295548984024094,2.50729981852288,4.48199720806847,7.61897192702938,3.548544,0.00000620239682079632,-0.0000313692804287946,-0.0000690003314929299
7,0.999992797657491,0.0000047286459629138,0.00000243659109759743,0.0000000341642717161746,8.12675477620724,7.98451539982199,8.12675870904332,161.437985243737,135.687071266749,161.438063369526,8.1267538020703,161.437857486743,0.00000232469707171669,0.00000091327770068041,0.0000000139077822438641,0.491620030331942,0.00000232471381510183,0.295541598959393,2.5072621546929,4.48192053842498,7.61884159587693,3.548544,0.00000852709389251301,-0.0000453768130181942,-0.0000983254349051776
8,0.999990473000257,0.00000612611771469828,0.00000334986879827784,0.0000000480720539600387,8.12675361386908,7.98433959150513,8.12675870904332,161.437962153889,135.684083619481,161.438063369526,8.12675232686913,161.437796147464,0.00000301166356539947,0.0000011831815586231,0.0000000180179932785244,0.491610462883147,0.00000301169225779084,0.295532031510598,2.50721336070405,4.48182121153022,7.61867274953731,3.548544,0.0000115387574579125,-0.0000635292086492711,-0.000136320995036687
9,0.999987461403552,0.00000793651486731446,0.00000453305035690094,0.0000000660900472385631,8.12675210804579,7.98411183153704,8.12675870904332,161.437932240709,135.680213117457,161.438063369526,8.12675041500939,161.437716670525,0.00000390157537779643,0.00000153283669496171,0.000000023342690786219,0.491598068298791,0.000003901624298689,0.295519636926242,2.50715014832384,4.4816925334074,7.61845400888222,3.548544,0.0000154403328357089,-0.0000870547012699063,-0.000185551617282176
10,0.999983559940388,0.0000102817986456461,0.00000606588705186265,0.0000000894327380247821,8.12675015726081,7.98381677298473,8.12675870904332,161.437893488365,135.675198958324,161.438063369526,8.12674793700069,161.437613689908,0.00000505434725967578,0.00000198579836587479,0.0000000302405842519003,0.491582011462175,0.00000505443035481212,0.295503580089626,2.50706825845709,4.48152583349306,7.61817063477273,3.548544,0.0000204946800953847,-0.000117546674360813,-0.000249341187630314
