"","state","statename","DateEmergDec","DateSchoolClose","DateRestaurantOtherRestrict","DateNEBusinessClose","DateStayAtHome","DateFirstCase","DateFirstDeath","DateFirstAnnounce","DateReOpen","DateReOpenPhase2","interval_case1_to_school_close","duration_till_school_close","interval_case1_to_restaurant_close","duration_till_restaurant_close","duration_till_first_close","full_duration_till_first_reopen","full_duration_till_second_reopen","duration_till_first_reopen","duration_till_second_reopen"
"1","AL","Alabama","13-Mar-20","19-Mar-20","19-Mar-20",NA,"4-Apr-20","13-Mar-20","25-Mar-20","28-Apr-20","30-Apr-20","11-May-20",2020-01-20 UTC--2020-03-19 UTC,59,2020-01-20 UTC--2020-03-19 UTC,59,59,101,112,42,53
"2","AK","Alaska","11-Mar-20","16-Mar-20","17-Mar-20","28-Mar-20","28-Mar-20","12-Mar-20","27-Mar-20","21-Apr-20","24-Apr-20","8-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,95,109,39,53
"3","AZ","Arizona","11-Mar-20","16-Mar-20","31-Mar-20",NA,"31-Mar-20","26-Jan-20","20-Mar-20","29-Apr-20","8-May-20","11-May-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-31 UTC,71,56,109,112,53,56
"4","AR","Arkansas","11-Mar-20","17-Mar-20","17-Mar-20",NA,NA,"11-Mar-20","24-Mar-20","28-Apr-20","4-May-20","15-Jun-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-03-17 UTC,57,57,105,147,48,90
"5","CA","California","4-Mar-20","19-Mar-20","16-Mar-20","19-Mar-20","19-Mar-20","26-Jan-20","4-Mar-20","28-Apr-20","8-May-20","18-May-20",2020-01-20 UTC--2020-03-19 UTC,59,2020-01-20 UTC--2020-03-16 UTC,56,56,109,119,53,63
"6","CO","Colorado","11-Mar-20","23-Mar-20","15-Mar-20","26-Mar-20","26-Mar-20","5-Mar-20","12-Mar-20","21-Apr-20","1-May-20","27-May-20",2020-01-20 UTC--2020-03-23 UTC,63,2020-01-20 UTC--2020-03-15 UTC,55,55,102,128,47,73
"7","CT","Connecticut","10-Mar-20","17-Mar-20","16-Mar-20","23-Mar-20","23-Mar-20","8-Mar-20","18-Mar-20","9-May-20","20-May-20","17-Jun-20",2020-01-20 UTC--2020-03-17 UTC,57,2020-01-20 UTC--2020-03-16 UTC,56,56,121,149,65,93
"8","DE","Delaware","13-Mar-20","16-Mar-20","16-Mar-20","24-Mar-20","24-Mar-20","11-Mar-20","26-Mar-20","15-May-20","1-Jun-20","15-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,133,147,77,91
"9","DC","District of Columbia","11-Mar-20","16-Mar-20","16-Mar-20","25-Mar-20","1-Apr-20","7-Mar-20","21-Mar-20","27-May-20","29-May-20","22-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-16 UTC,56,56,130,154,74,98
"10","FL","Florida","9-Mar-20","16-Mar-20","17-Mar-20",NA,"3-Apr-20","2-Mar-20","6-Mar-20","29-Apr-20","4-May-20","5-Jun-20",2020-01-20 UTC--2020-03-16 UTC,56,2020-01-20 UTC--2020-03-17 UTC,57,56,105,137,49,81
