time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.9992,158.90408662155,0.000000486344610009794,0.000000193137254901961,0.00000000294117647058824,0.486344610009794,0.00000048634509635489,0.290266178637245,2.48035751104995,4.4196873185232,7.513051,3.548544,0.000000486344610009794,0,0
2,0.99999851365539,0.00000129026617863724,0.000000193137254901961,0,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919997647294,158.904079487499,0.0000006275136962698,0.00000024919846783484,0.00000000379490052540366,0.486344373478478,0.000000627514628972786,0.290265942105928,2.48035630474023,4.4196873185232,7.513051,3.548544,0.00000111385830627959,-0.000000294117652455128,-0.00000448953274556629
3,0.999997886141694,0.0000016647865065468,0.000000442335722736801,0.00000000379490052540366,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919994611677,158.904070282681,0.000000809659042428715,0.000000321532295872274,0.00000000489643090160824,0.486344068290268,0.000000809660753936824,0.290265636917719,2.48035474828037,4.4196873185232,7.513051,3.548544,0.00000192351734870831,-0.000000673607702950108,-0.0000102822206193842
4,0.999997076482651,0.00000214801682220163,0.000000763868018609076,0.0000000086913314270119,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919990694924,158.90405840603,0.00000104467439423293,0.000000414862072523257,0.00000000631769653588716,0.486343674516563,0.00000104467744836558,0.290265243144014,2.48035274003447,4.4196873185232,7.513051,3.548544,0.00000296819174294124,-0.00000116325078458601,-0.0000177563211467557
5,0.999996031808257,0.00000277151144737542,0.00000117873009113233,0.0000000150090279628991,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919985641273,158.904043082014,0.00000134790565315317,0.000000535282112875449,0.00000000815150425698654,0.486343166444295,0.00000134791100192248,0.290264735071745,2.4803501488659,4.4196873185232,7.513051,3.548544,0.00000431609739609442,-0.00000179502043229363,-0.0000273998839728229
6,0.999994683902604,0.00000357598348339616,0.00000171401220400778,0.0000000231605322198856,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919979120721,158.904023310002,0.00000173915278624105,0.000000690655633557886,0.0000000105175984805769,0.48634251089699,0.0000017391620317958,0.290264079524441,2.48034680557465,4.4196873185232,7.513051,3.548544,0.00000605525018233547,-0.00000261017085723125,-0.0000398426176051458
7,0.999992944749818,0.00000461396303759875,0.00000240466783756567,0.0000000336781307004625,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919970707484,158.903997798926,0.00000224396246627057,0.000000891128155300935,0.0000000135704795223493,0.48634166506856,0.00000224397829809887,0.290263233696011,2.48034249184966,4.4196873185232,7.513051,3.548544,0.00000829921264860604,-0.00000366193072531829,-0.0000558970040809292
8,0.999990700787351,0.00000595322686904604,0.0000032957959928666,0.0000000472486102228118,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919959852186,158.90396488299,0.00000289529577102729,0.00000114978989529615,0.0000000175094907913119,0.486340573728419,0.00000289532269524872,0.29026214235587,2.48033692601493,4.4196873185232,7.513051,3.548544,0.0000111945084196333,-0.00000501897866600487,-0.0000766113459005346
9,0.99998780549158,0.00000768122325398586,0.00000444558588816275,0.0000000647581010141237,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919945845994,158.903922412918,0.00000373567970824999,0.00000148353037356394,0.0000000225918330999584,0.486339165615518,0.00000373572526358318,0.290260734242969,2.48032974463914,4.4196873185232,7.513051,3.548544,0.0000149301881278833,-0.00000676992777393082,-0.000103338205625914
10,0.999984069811872,0.00000991078075557196,0.00000592911626172669,0.0000000873499341140821,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919927774335,158.90386761564,0.00000481998283706428,0.00000191414098906635,0.000000029149355163447,0.48633734878601,0.00000482005962152084,0.290258917413461,2.48032047880865,4.4196873185232,7.513051,3.548544,0.0000197501709649476,-0.00000902911105882254,-0.000137822704593393
11,0.999979249829035,0.0000127874732484064,0.00000784325725079303,0.000000116499289277529,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919904457183,158.903796913277,0.00000621899586122669,0.00000246973748032948,0.0000000376102154364895,0.486335004610993,0.00000621912490913181,0.290256573238444,2.48030852351606,4.4196873185232,7.513051,3.548544,0.0000259691668261743,-0.0000119440465740084,-0.000182316439290009
12,0.999973030833174,0.0000164991214138672,0.0000103129947311225,0.000000154109504714019,7.9992,7.9992,7.9992,158.904109589041,135.936618082192,158.904109589041,7.99919874372019,158.903705689612,0.00000802405038600844,0.00000318659501816846,0.0000000485268276878446,0.486331980032851,0.00000802426679379826,0.290253548660302,2.48029309816754,4.4196873185232,7.513051,3.548544,0.0000339932172121827,-0.0000157050681348636,-0.000239724443973355
