time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99111446033069,7.86614796527778,7.99211691350744,136.847836501641,115.237553036982,136.865003512465,7.99111433536419,136.847814891358,0.000000479736772476156,0.000000193137254901961,0.00000000294117647058824,0.479736772476156,0.000000479737252213408,0.283658341103607,2.4466575396284,4.34178083385071,7.38061733435989,3.548544,0.000000479736772476156,0,0
2,0.999998520263227,0.00000128365834110361,0.000000193137254901961,0,7.99111446033069,7.86614796527778,7.99211691350744,136.847836501641,115.237553036982,136.865003512465,7.99111427660674,136.847808362243,0.000000615817814092253,0.000000247922248232756,0.00000000377546570912826,0.479736542328555,0.000000615818725341866,0.283658110956006,2.44665636587563,4.34178083385071,7.38061733435989,3.548544,0.00000109555458656841,-0.00000073528488853114,-0.00000477107743312999
3,0.999997904462421,0.00000164776143395391,0.000000441059503134716,0.00000000377546570912826,7.9908269590117,7.86614796527778,7.99211691350744,136.842913041504,115.237553036982,136.865003512465,7.99082670046788,136.842876531644,0.00000079046905480154,0.000000318244120087176,0.00000000484635715868796,0.479722997827883,0.000000790470711262621,0.283644566455334,2.4465872889222,4.34162462688825,7.38035179727753,3.548544,0.00000188602364136995,-0.00359943412444608,-0.00360865076149963
4,0.999997114021389,0.00000211511198888537,0.000000759303623221893,0.00000000862182286781622,7.99045792308265,7.86614796527778,7.99211691350744,136.836593301156,115.237553036982,136.865003512465,7.99045756901919,136.836546056098,0.00000101463109142868,0.000000408506923343547,0.00000000622091761436874,0.479705612166368,0.00000101463401964076,0.283627180793819,2.44649862204848,4.34142412004635,7.38001095458426,3.548544,0.00000290065473279863,-0.00821870789784462,-0.0082345744936041
5,0.999996099436468,0.00000271496906871692,0.00000116781054656544,0.000000014842740482185,7.98998424090412,7.86614796527778,7.99211691350744,136.828481493768,115.237553036982,136.865003512465,7.9899837650898,136.828420484369,0.00000130232531291722,0.000000524361673075718,0.00000000798520314328504,0.479683296551403,0.00000130233039273966,0.283604865178854,2.44638481241215,4.34116675616872,7.37957346030042,3.548544,0.00000420298004571585,-0.0141478425529362,-0.0141722445506476
6,0.999994797187223,0.00000348487143741613,0.00000169217221964116,0.00000002282794362547,7.98937625701411,7.86614796527778,7.99211691350744,136.818069769547,115.237553036982,136.865003512465,7.98937562633783,136.81799111796,0.00000167153480326901,0.000000673058503108802,0.0000000102496218747533,0.479654653919851,0.00000167154349999689,0.283576222547301,2.44623873499124,4.34083642266968,7.37901192455221,3.548544,0.00000587451484898486,-0.0217580296488995,-0.0217933866331177
7,0.999993125777737,0.00000447297279836152,0.00000236523072274996,0.0000000330775655002233,7.98859592407685,7.86614796527778,7.99211691350745,136.804706567863,115.237553036982,136.865003512465,7.98859509695924,136.804605313655,0.00000214531778401033,0.000000863897687526686,0.0000000131558023481221,0.479617891885276,0.00000214533253150298,0.283539460512727,2.44605124861491,4.34041244743971,7.37829120670591,3.548544,0.00000801983263299519,-0.0315254956847144,-0.0315749124218612
8,0.999990980666389,0.00000574103065633318,0.00000322912841027665,0.0000000462333678483455,7.98759443600687,7.86614796527778,7.99211691350745,136.787556084493,115.237553036982,136.865003512465,7.9875933605963,136.787425888887,0.00000275323015516576,0.00000110880690127219,0.0000000168853842833329,0.479570711250001,0.00000275325498769101,0.283492279877452,2.445810627375,4.33986831286009,7.37736622931432,3.548544,0.000010773062788161,-0.0440611236446897,-0.0441285836525362
9,0.999988227776263,0.00000736822849688756,0.00000433793531154884,0.0000000631187521316783,7.98630919861423,7.86614796527778,7.99211691350744,136.765546393924,115.237553036982,136.865003512465,7.98630781085728,136.765379167466,0.00000353314044991401,0.00000142307942537927,0.0000000216712602849634,0.479510163318966,0.00000353318204332353,0.283431731946417,2.44550183292673,4.33917000987544,7.37617918019545,3.548544,0.000014306203238075,-0.0601483636098354,-0.0602389771127254
10,0.999984695195815,0.0000094560582594405,0.0000057610147369281,0.0000000847900124166418,7.98465995564258,7.86614796527778,7.99211691350744,136.737303107752,115.237553036982,136.865003512465,7.98465817744223,136.737088544421,0.00000453354134360703,0.00000182631713442135,0.0000000278119360571779,0.479432467442864,0.0000045336107296315,0.283354036070315,2.44510558395861,4.33827393316922,7.37465593442972,3.548544,0.000018839744581682,-0.0807917100296485,-0.080912031386926
