time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99348431422982,7.78413746974003,7.99348431562237,169.741641110087,141.404782685265,169.741641139657,7.99348410488298,169.741612773228,0.000000476005466372671,0.000000193137254901961,0.00000000294117647058824,0.476005466372671,0.000000476005942378614,0.279927035000122,2.42762787850062,4.29778868963111,7.30583484426472,3.548544,0.000000476005466372671,0,0
2,0.999998523994534,0.00000127992703500012,0.000000193137254901961,0,7.99348431422982,7.78413746974003,7.99348431562237,169.741641110087,141.404782685265,169.741641139657,7.99348402277089,169.741604341735,0.000000609251975210525,0.00000024720159401473,0.00000000376449127941212,0.476005239791241,0.000000609252874471098,0.279926808418692,2.42762672293533,4.29778868963111,7.30583484426472,3.548544,0.0000010852574415832,-0.00000102723778372393,-0.00000496725153231736
3,0.999997914759124,0.0000016381963596614,0.00000044033884891669,0.00000000376449127941212,7.99348431384013,7.78386109890111,7.99348431562237,169.741641101812,141.399762198593,169.741641139657,7.99348391683449,169.741593534018,0.000000779768373842554,0.000000316396747895387,0.0000000048182245872394,0.475992007456131,0.000000779769999850832,0.279913576083582,2.42755923802627,4.29763609917376,7.30557545489947,3.548544,0.00000186502581542575,-0.00000235252219926707,-0.0000113344101881907
4,0.999997135017886,0.00000209672262517389,0.000000756735596812078,0.00000000858271586665152,7.99348431334144,7.78350738103382,7.99348431562237,169.741641091222,141.393336644272,169.741641139657,7.993483780962,169.741579696606,0.000000997987702170775,0.000000404955252116918,0.00000000616683125051144,0.475975071851961,0.000000997990561395884,0.279896640479412,2.427472866445,4.29744080371012,7.30524347105702,3.548544,0.00000286301351759653,-0.00000405231272981865,-0.0000194864544389439
5,0.999996137074634,0.00000268354379388483,0.000001161690848929,0.000000014749547117163,7.99348431270332,7.78305467989095,7.99348431562237,169.741641077672,141.3851129834,169.741641139657,7.99348360659567,169.741561978834,0.00000127724178491086,0.000000518292281760109,0.00000000789277586436714,0.475953397079413,0.00000127724671881961,0.279874965706864,2.42736232510501,4.29719085738925,7.30481858591908,3.548544,0.00000414025530250739,-0.00000623366858132357,-0.0000299245384138835
6,0.999994859905657,0.00000343452771277011,0.0000016799831306891,0.0000000226423229815301,7.99348431188686,7.78247531370471,7.99348431562237,169.741641060334,141.374588355594,169.741641139657,7.99348338266931,169.74153929032,0.00000163457986093643,0.000000663335254329128,0.0000000101015520963827,0.475925657801161,0.00000163458826287431,0.279847226428612,2.42722085478592,4.29687097649455,7.304274818611,3.548544,0.00000577483516344382,-0.00000903502974658466,-0.0000432910391867658
7,0.999993225445048,0.00000439555151570092,0.00000234331838501823,0.0000000327438750779128,7.99348431084231,7.78173387029365,7.99348431562237,169.741641038153,141.361119471621,169.741641139657,7.99348309483445,169.741510232869,0.000002091799707858,0.000000848944753522629,0.000000012928092693238,0.475890158581031,0.00000209181387896608,0.279811727208482,2.42703980876326,4.296461609177,7.30357893283609,3.548544,0.00000786663487130182,-0.0000126358983165709,-0.0000604096763390238
8,0.999991133840645,0.00000562528307237601,0.00000319226313854086,0.0000000456719677711508,7.99348430950615,7.78078505534751,7.99348431562237,169.741641009779,141.343883525854,169.741641139657,7.99348272442425,169.74147301268,0.00000267676130969149,0.00000108645173064517,0.0000000165449502128706,0.475844730878739,0.00000267678504249423,0.27976629950619,2.42680812748157,4.29593774744563,7.30268841737174,3.548544,0.0000105433961809933,-0.0000172698001787985,-0.0000823372333424999
9,0.999988457399165,0.00000719872787094273,0.00000427871486918603,0.0000000622169179840214,7.99348430779724,7.77957094631383,7.99348431562237,169.741640973491,141.321828311037,169.741641139657,7.993482247053,169.741425326952,0.00000342505826953149,0.00000139034253978012,0.0000000211727290321845,0.475786601596172,0.00000342509780406826,0.279708170223623,2.42651166814048,4.29526741097765,7.30154890868976,3.548544,0.0000139684544505248,-0.0000232418049250782,-0.000110430361155434
10,0.999985032864582,0.00000921174718565997,0.00000566905740896615,0.0000000833896470162059,7.99348430561212,7.77801749057501,7.99348431562237,169.74164092709,141.293608604998,169.741641139657,7.99348163070227,169.741364217074,0.00000438214075405236,0.00000177913156428923,0.0000000270933740754705,0.475712225458607,0.00000438220634312813,0.279633794086058,2.42613234983889,4.29440971368456,7.3000909043014,3.548544,0.0000183505952045772,-0.0000309524692876373,-0.000146432068459657
