time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.9922504381987,7.77192535288049,7.99323622221364,158.766056542478,132.074363493577,158.78563914213,7.99225021787362,158.766029850785,0.00000047537739767162,0.000000193137254901961,0.00000000294117647058824,0.47537739767162,0.000000475377873049493,0.279298966299071,2.42442472812526,4.29038375202744,7.29324714973823,3.548544,0.00000047537739767162,0,0
2,0.999998524622602,0.00000127929896629907,0.000000193137254901961,0,7.9922504381987,7.77192535288049,7.99323622221364,158.766056542478,132.074363493577,158.78563914213,7.99225013302082,158.766021932646,0.00000060814952434228,0.000000247080290549919,0.00000000376264401852668,0.475377171687723,0.000000608150421593667,0.279298740315174,2.42442357560739,4.29038375202744,7.29324714973823,3.548544,0.0000010835269220139,-0.00000106168843716503,-0.00000498730059472763
3,0.99999791648957,0.00000163658906457932,0.000000440217545451879,0.00000000376264401852668,7.99196731507326,7.77192535288015,7.99323622221364,158.760432301535,132.074363493571,158.78563914213,7.99196690193687,158.760387574201,0.000000777975510286803,0.000000316086319335418,0.00000000481349724876271,0.475363991563013,0.00000077797713121027,0.279285560190464,2.42435635697137,4.29023176644239,7.29298878859875,3.548544,0.0000018615024323007,-0.00354488321843149,-0.00355383112422558
4,0.999997138541048,0.00000209363776976784,0.000000756303864787297,0.00000000857614126728938,7.9916051329619,7.77192535287971,7.99323622221364,158.75323755382,132.074363493563,158.78563914213,7.99160458222375,158.753179894016,0.000000995204707332363,0.000000404359451612025,0.00000000615775814637601,0.475347131057307,0.000000995207555077931,0.279268699684758,2.42427036839226,4.290037340572,7.2926582829827,3.548544,0.00000285670713963307,-0.00807827122855098,-0.00809364369747101
5,0.999996143380506,0.00000267828110195501,0.00000116066331639932,0.0000000147338994136654,7.9911418263496,7.77192535287915,7.99323622221364,158.744033967875,132.074363493554,158.78563914213,7.99114110041311,158.743959781477,0.00000127305547261458,0.000000517275859887388,0.00000000787729735869119,0.475325562983407,0.00000127306038232407,0.279247131610858,2.42416037121537,4.28978862925102,7.29223549722793,3.548544,0.00000412976261224765,-0.0138774116209217,-0.0139010022031094
6,0.999994870397304,0.00000342611114621158,0.00000167793917628671,0.0000000226111967723566,7.99054917808572,7.77192535287843,7.99323622221364,158.732261009996,132.074363493542,158.78563914213,7.9905482293874,158.732165710655,0.00000162842368578766,0.000000661709701768315,0.0000000100767974888576,0.475297973794075,0.00000162843203899704,0.279219542421525,2.42401966634978,4.28947048500557,7.29169468205953,3.548544,0.00000575818629803531,-0.0212954854993619,-0.0213295880495679
7,0.999993242091874,0.0000043826300772328,0.00000233964887805503,0.0000000326879942612142,7.98979110875866,7.77192535287751,7.99323622221364,158.717201962663,132.074363493526,158.78563914213,7.98978987732437,158.717079702114,0.0000020829005332998,0.000000846449142367512,0.0000000128900884624494,0.475262683957791,0.00000208291460944537,0.279184252585242,2.42383968818473,4.28906353975867,7.29100291357597,3.548544,0.00000784108683133511,-0.0307840781029078,-0.0308316260830832
8,0.999991159384824,0.00000560599789586026,0.00000318609802042254,0.0000000455780827236636,7.98882149317831,7.77192535287634,7.99323622221364,158.697940548966,132.074363493506,158.78563914213,7.98881990371306,158.697783876759,0.00000266406856478245,0.00000108272704459262,0.0000000164882291054714,0.475217546326537,0.00000266409211699564,0.279139114953988,2.42360948626534,4.28854303267885,7.2901181007024,3.548544,0.0000105051553961176,-0.0429205050773596,-0.0429852494828964
9,0.999988495632797,0.00000717053464927803,0.00000426882506501516,0.000000062066311829135,7.98758137501758,7.77192535287484,7.99323622221364,158.673305601457,132.074363493481,158.78563914213,7.98757933353555,158.6731050374,0.00000340714992813471,0.00000138489737834095,0.0000000210898077919942,0.475159816496774,0.00000340718912568954,0.279081385124225,2.42331506413355,4.28787731494951,7.28898644343988,3.548544,0.0000139123053242523,-0.0584426689697382,-0.0585294054853414
10,0.999985089000657,0.00000917117960377493,0.00000565372244335611,0.0000000831561196211292,7.98599541663982,7.77192535287292,7.99323622221364,158.641800537968,132.074363493448,158.78563914213,7.98599280672971,158.641544037825,0.00000435709891936487,0.00000177129645288594,0.0000000269740576581616,0.475085987583478,0.00000435716388903275,0.279007556210929,2.42293853667574,4.28702594397254,7.2875391931914,3.548544,0.0000182694042436171,-0.0782934839791971,-0.0784083428155391
11,0.99998073274859,0.0000117291611596558,0.00000742501889624205,0.000000110130177279291,7.98396737887108,7.77192535287047,7.99323622221364,158.601513567289,132.074363493406,158.78563914213,7.98396405785932,158.601185859919,0.00000557125278969979,0.00000226533798867863,0.0000000344975328225171,0.474991579863608,0.0000055713601344962,0.278913148491059,2.4224570573044,4.28593725682872,7.2856885278739,3.548544,0.0000238406570333169,-0.103677434870142,-0.103828250300653
12,0.999975162880563,0.000014999193665501,0.00000969035688492068,0.000000144627710101808,7.9813743734528,7.77192535286734,7.99323622221364,158.55000351414,132.074363493353,158.78563914213,7.9813701690294,158.549585287234,0.00000712268019518827,0.00000289690309029775,0.0000000441152754867677,0.474870873330399,0.00000712285710644095,0.27879244195785,2.42184145398504,4.28454528489099,7.28332230705215,3.548544,0.0000309633372285052,-0.136132485190321,-0.13632926625079
13,0.999968042464118,0.0000191785917449777,0.0000125872599752184,0.000000188742985588576,7.97805956768881,7.77192535286335,7.99323622221364,158.48415489698,132.074363493285,158.78563914213,7.9780542760897,158.483621810331,0.00000910439525738603,0.00000370410056251041,0.0000000564076227793463,0.474716568267854,0.00000910468622072263,0.278638136895305,2.42105449816606,4.28276583754778,7.28029741463831,3.548544,0.0000400677324858912,-0.177621338132949,-0.177876867437943
14,0.999958941768299,0.0000245187793784402,0.0000162913605377288,0.000000245150608367922,7.97382294532525,7.77192535285826,7.99323622221364,158.399994392886,132.074363493199,158.78563914213,7.97381633307145,158.39931590549,0.0000116346353873024,0.00000473548974269874,0.0000000721140569954123,0.474519355459144,0.0000116351131044721,0.278440924086595,2.42004871284164,4.2804915424772,7.27643132782653,3.548544,0.0000517023678731936,-0.230646993020078,-0.230977587358616
15,0.99994731317597,0.0000313397679077433,0.0000210268502804276,0.000000317264665363334,7.96840963988668,7.77192535285178,7.99323622221364,158.292459079274,132.074363493089,158.78563914213,7.96840145260824,158.291597094096,0.000014863429414321,0.0000060528767429661,0.0000000921757879639508,0.474267373583472,0.0000148642125624726,0.278188942210923,2.41876360527571,4.27758558277205,7.271491470797,3.548544,0.0000665657972875146,-0.298398631364649,-0.298825105807876
16,0.999932459612518,0.0000400482788284953,0.0000270797270233937,0.000000409440453327285,7.96149525843861,7.77192535284353,7.99323622221364,158.155104890434,132.074363492949,158.78563914213,7.96148524285242,158.154012256066,0.0000189807026079353,0.00000773481463648389,0.000000117789055377927,0.473945526828236,0.0000189819846585343,0.277867095455687,2.417122186824,4.27387381847166,7.26518182206417,3.548544,0.0000855464998954498,-0.38493508314339,-0.385483969898304
17,0.9999134950059,0.0000511602817551834,0.0000348145416598776,0.000000527229508705212,7.95266751065804,7.77192535283304,7.99323622221364,157.979741679019,132.07436349277,158.78563914213,7.95265545994824,157.978360653295,0.0000242261651437116,0.00000988095637820698,0.00000015047141692701,0.473534631017882,0.0000242282610092873,0.277456199645333,2.4150266181912,4.26913492471658,7.25712615027123,3.548544,0.000109772665039161,-0.495414393268479,-0.496119477340107
