time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.9922504381987,7.77192535288172,7.99323622221364,158.766056542478,132.074363493598,158.78563914213,7.99225021787362,158.766029850785,0.000000475377397671677,0.000000193137254901961,0.00000000294117647058824,0.475377397671677,0.00000047537787304955,0.279298966299128,2.42442472812555,4.29038375202812,7.29324714973939,3.548544,0.000000475377397671677,0,0
2,0.999998524622602,0.00000127929896629913,0.000000193137254901961,0,7.9922504381987,7.77192535288172,7.99323622221364,158.766056542478,132.074363493598,158.78563914213,7.99225013302082,158.766021932646,0.000000608149524342381,0.00000024708029054993,0.00000000376264401852685,0.475377171687781,0.000000608150421593768,0.279298740315232,2.42442357560768,4.29038375202812,7.29324714973939,3.548544,0.00000108352692201406,-0.00000106168843716503,-0.00000498730059472763
3,0.99999791648957,0.00000163658906457949,0.000000440217545451891,0.00000000376264401852685,7.99196731507326,7.77192535288173,7.99323622221364,158.760432301535,132.074363493598,158.78563914213,7.99196690193687,158.760387574201,0.000000777975510287003,0.00000031608631933545,0.0000000048134972487632,0.475363991563086,0.00000077797713121047,0.279285560190537,2.42435635697174,4.29023176644326,7.29298878860022,3.548544,0.00000186150243230106,-0.00354488321843149,-0.00355383112422558
4,0.999997138541048,0.00000209363776976821,0.000000756303864787341,0.00000000857614126729004,7.99160513296189,7.77192535288172,7.99323622221364,158.75323755382,132.074363493598,158.78563914213,7.99160458222375,158.753179894016,0.000000995204707332735,0.000000404359451612096,0.0000000061577581463771,0.475347131057401,0.000000995207555078303,0.279268699684852,2.42427036839274,4.29003734057311,7.29265828298459,3.548544,0.0000028567071396338,-0.00807827122856208,-0.00809364369749321
5,0.999996143380506,0.00000267828110195573,0.00000116066331639944,0.0000000147338994136671,7.9911418263496,7.77192535288173,7.99323622221364,158.744033967875,132.074363493598,158.78563914213,7.99114110041311,158.743959781477,0.00000127305547261525,0.000000517275859887528,0.00000000787729735869332,0.475325562983527,0.00000127306038232474,0.279247131610978,2.42416037121599,4.28978862925244,7.29223549723035,3.548544,0.00000412976261224904,-0.0138774116209328,-0.0139010022031094
6,0.999994870397304,0.00000342611114621292,0.00000167793917628696,0.0000000226111967723605,7.99054917808572,7.77192535288173,7.99323622221364,158.732261009995,132.074363493598,158.78563914213,7.9905482293874,158.732165710655,0.00000162842368578882,0.000000661709701768574,0.0000000100767974888615,0.475297973794229,0.0000016284320389982,0.279219542421679,2.42401966635057,4.28947048500738,7.29169468206262,3.548544,0.00000575818629803787,-0.0212954854993841,-0.0213295880496012
7,0.999993242091874,0.00000438263007723519,0.00000233964887805554,0.000000032687994261222,7.98979110875866,7.77192535288173,7.99323622221364,158.717201962663,132.074363493598,158.78563914213,7.98978987732437,158.717079702114,0.0000020829005333018,0.000000846449142367973,0.0000000128900884624564,0.475262683957988,0.00000208291460944737,0.279184252585439,2.42383968818574,4.289063539761,7.29100291357993,3.548544,0.00000784108683133967,-0.0307840781029189,-0.0308316260830943
8,0.999991159384824,0.00000560599789586442,0.00000318609802042351,0.0000000455780827236784,7.98882149317831,7.77192535288173,7.99323622221364,158.697940548966,132.074363493598,158.78563914213,7.98881990371306,158.697783876759,0.00000266406856478584,0.00000108272704459342,0.0000000164882291054836,0.475217546326789,0.00000266409211699903,0.27913911495424,2.42360948626663,4.28854303268182,7.29011810070745,3.548544,0.0000105051553961255,-0.0429205050773707,-0.0429852494829075
9,0.999988495632797,0.00000717053464928516,0.00000426882506501693,0.0000000620663118291621,7.98758137501758,7.77192535288172,7.99323622221364,158.673305601457,132.074363493598,158.78563914213,7.98757933353555,158.6731050374,0.0000034071499281404,0.00000138489737834233,0.0000000210898077920152,0.475159816497096,0.00000340718912569523,0.279081385124547,2.42331506413519,4.28787731495331,7.28898644344633,3.548544,0.0000139123053242659,-0.0584426689697937,-0.0585294054853747
10,0.999985089000657,0.000009171179603787,0.00000565372244335926,0.0000000831561196211772,7.98599541663981,7.77192535288173,7.99323622221364,158.641800537968,132.074363493598,158.78563914213,7.9859928067297,158.641544037825,0.00000435709891937438,0.00000177129645288827,0.0000000269740576581971,0.47508598758389,0.00000435716388904226,0.279007556211341,2.42293853667784,4.28702594397739,7.28753919319965,3.548544,0.0000182694042436403,-0.0782934839792748,-0.0784083428156279
11,0.99998073274859,0.0000117291611596761,0.00000742501889624754,0.000000110130177279374,7.98396737887107,7.77192535288173,7.99323622221364,158.601513567289,132.074363493598,158.78563914213,7.98396405785931,158.601185859919,0.00000557125278971558,0.00000226533798868254,0.0000000344975328225767,0.474991579864134,0.00000557136013451199,0.278913148491585,2.42245705730708,4.28593725683492,7.28568852788444,3.548544,0.0000238406570333559,-0.103677434870297,-0.103828250300797
12,0.999975162880563,0.0000149991936655348,0.00000969035688493008,0.000000144627710101951,7.98137437345278,7.77192535288173,7.99323622221364,158.55000351414,132.074363493598,158.78563914213,7.98137016902938,158.549585287233,0.00000712268019521438,0.00000289690309030427,0.0000000441152754868671,0.474870873331071,0.00000712285710646707,0.278792441958522,2.42184145398846,4.28454528489891,7.28332230706561,3.548544,0.0000309633372285703,-0.136132485190588,-0.136329266251056
13,0.999968042464118,0.0000191785917450338,0.0000125872599752344,0.000000188742985588818,7.97805956768878,7.77192535288173,7.99323622221364,158.484154896979,132.074363493598,158.78563914213,7.97805427608966,158.48362181033,0.00000910439525742909,0.00000370410056252123,0.0000000564076227795112,0.474716568268712,0.00000910468622076568,0.278638136896163,2.42105449817043,4.28276583755789,7.2802974146555,3.548544,0.0000400677324859993,-0.177621338133371,-0.177876867438354
14,0.999958941768299,0.0000245187793785328,0.0000162913605377556,0.000000245150608368329,7.97382294532519,7.77192535288174,7.99323622221364,158.399994392885,132.074363493598,158.78563914213,7.97381633307139,158.399315905489,0.0000116346353873732,0.00000473548974271663,0.0000000721140569956848,0.474519355460238,0.0000116351131045429,0.278440924087689,2.42004871284721,4.28049154249009,7.27643132784845,3.548544,0.0000517023678733725,-0.230646993020811,-0.230977587359338
15,0.99994731317597,0.0000313397679078959,0.0000210268502804722,0.000000317264665364014,7.96840963988659,7.77192535288175,7.99323622221364,158.292459079272,132.074363493598,158.78563914213,7.96840145260816,158.291597094094,0.0000148634294144371,0.00000605287674299558,0.0000000921757879643997,0.474267373584866,0.0000148642125625887,0.278188942212317,2.41876360528282,4.2775855827885,7.27149147082496,3.548544,0.0000665657972878096,-0.298398631365759,-0.29882510580902
16,0.999932459612518,0.000040048278828746,0.0000270797270234678,0.000000409440453328414,7.96149525843845,7.77192535288176,7.99323622221364,158.155104890431,132.074363493598,158.78563914213,7.96148524285226,158.154012256063,0.0000189807026081252,0.00000773481463653231,0.000000117789055378665,0.473945526830012,0.0000189819846587242,0.277867095457463,2.41712218683306,4.2738738184926,7.26518182209977,3.548544,0.0000855464998959348,-0.384935083145332,-0.385483969900258
17,0.999913495005899,0.0000511602817555941,0.0000348145416600001,0.000000527229508707078,7.95266751065779,7.77192535288178,7.99323622221364,157.979741679014,132.074363493599,158.78563914213,7.95265545994799,157.97836065329,0.0000242261651440217,0.00000988095637828631,0.000000150471416928218,0.47353463102014,0.0000242282610095974,0.277456199647591,2.41502661820272,4.26913492474322,7.25712615031651,3.548544,0.000109772665039956,-0.495414393271632,-0.496119477343271
18,0.999889295077319,0.0000653287825404422,0.0000446954980382864,0.000000677700925635296,7.94140336227837,7.77192535288182,7.99323622221364,157.75597936922,132.074363493599,158.78563914213,7.94138920192836,157.754240266316,0.0000309011904395156,0.0000126174217259482,0.000000192143478060124,0.473010352219345,0.0000309046117321679,0.276931920846796,2.41235279631866,4.26308812734103,7.24684716585557,3.548544,0.000140673855479472,-0.636379174309498,-0.637283419771784
19,0.999858436603771,0.0000833776908850768,0.0000573129197642346,0.000000869844403695421,7.92704086649745,7.77192535288188,7.99323622221364,157.470668387679,132.0743634936,158.78563914213,7.92702480856626,157.468488829104,0.0000393827768383572,0.000016103338337608,0.000000245228502603167,0.472341898897635,0.0000393883527873497,0.276263467525086,2.40894368437794,4.25537808133919,7.23374081586981,3.548544,0.000180056632317829,-0.816108198933663,-0.817266151266771
20,0.999819123274745,0.000106342453070608,0.0000734162581018425,0.00000111507290629859,7.90874483264839,7.77192535288197,7.99323622221364,157.107217671633,132.074363493602,158.78563914213,7.90872764388285,157.104503191854,0.0000501394488506084,0.0000205386894655978,0.000000312771920795906,0.471490429295602,0.0000501485195506011,0.275411997923052,2.40460118940757,4.24555644136943,7.21704495557961,3.548544,0.000230196081168438,-1.04504453331528,-1.04652529290583
21,0.999769096522106,0.000135517744322749,0.0000939549475674404,0.00000142784482709449,7.88546563712813,7.77192535288213,7.99323622221364,156.644776447998,132.074363493605,158.78563914213,7.88544909357072,156.641423740546,0.0000637485149087628,0.0000261735251290015,0.000000398581600949261,0.470407142823596,0.0000637632380621932,0.274328711451047,2.39907642840034,4.23305975060729,7.19580176160212,3.548544,0.0002939445960772,-1.33630856631651,-1.33819943235696
22,0.999705530451509,0.000172511708190472,0.000120128472696442,0.00000182642642804375,7.85589087802841,7.77192535288238,7.99323622221364,156.057273852607,132.074363493609,158.78563914213,7.85587852076639,156.053178788008,0.0000809133464915666,0.0000333184377583558,0.000000507387377030799,0.469031043401584,0.0000809371800264252,0.272952612029035,2.39205832134808,4.2171834881088,7.16881361487496,3.548544,0.000374857942568767,-1.706299144667,-1.70871002148676
23,0.999624911574838,0.000219304759726344,0.000153446910454798,0.00000233381380507455,7.81839039311205,7.77192535288278,7.99323622221364,155.312326712294,132.074363493616,158.78563914213,7.81838876299716,155.307400558562,0.000102478132025446,0.0000423559192804801,0.000000645013999195128,0.467286401596219,0.000102516584809796,0.27120797022367,2.38316064814072,4.19705255347146,7.13459292736747,3.548544,0.000477336074594214,-2.17537552174786,-2.17844415173259
24,0.999522906905489,0.000278308495795202,0.000195802829735278,0.00000297882780426968,7.77095665149988,7.77192535288342,7.99323622221364,154.370055425746,132.074363493627,158.78563914213,7.77097727286915,154.364254633205,0.000129435718826241,0.0000537517388937792,0.000000818554399397652,0.465080012941785,0.000129497501189815,0.269001581569236,2.3719080660031,4.17158926801993,7.09130774711882,3.548544,0.000606771793420455,-2.76859381241112,-2.77249183702365
25,0.999394228748311,0.000352416359679672,0.000249554568629057,0.00000379738220366734,7.71114503676265,7.77192535288444,7.99323622221364,153.181897687109,132.074363493644,158.78563914213,7.71120754903973,153.175275345281,0.000162921543138156,0.0000680647282910739,0.00000103651870494021,0.4622984678868,0.000163020296147003,0.266220036514251,2.35772218622268,4.13948131769589,7.03672726417857,3.548544,0.00076969333655861,-3.51643981572762,-3.52137954873469
26,0.999232511898338,0.0004450319626571,0.000317619296920131,0.00000483390090860755,7.63602248861614,7.77192535288603,7.99323622221364,151.689588253256,132.074363493671,158.78563914213,7.63615949347454,151.682378995393,0.000204183260737914,0.0000859522516112242,0.00000130891753722677,0.458805833897459,0.000204340089325163,0.26272740252491,2.33990975287704,4.09915418299655,6.968174944106,3.548544,0.000973876597296524,-4.4554501509816,-4.46169174983434
27,0.999030229545919,0.000560053145927103,0.000403571548531355,0.00000614281844583431,7.54213879356542,7.77192535288849,7.99323622221364,149.824588632423,132.074363493713,158.78563914213,7.54240318416661,149.817343202117,0.000254511907911088,0.000108167127203568,0.00000164721513507971,0.454442421691558,0.000254758965628867,0.258363990319009,2.31765635062694,4.04875572727614,6.88250232953851,3.548544,0.00122838850520761,-5.6285404165773,-5.63639882982439
28,0.998778687969741,0.000701780379766841,0.000511738675734923,0.00000779003358091403,7.42554274120126,7.77192535289224,7.99323622221364,147.508408029047,132.074363493776,158.78563914213,7.42601846936509,147.502198185427,0.000315117408360718,0.000135539936092223,0.00000206405994049071,0.449025674478692,0.000315502735647344,0.252947243106143,2.29003093984133,3.98616486973644,6.77610378345616,3.548544,0.00154350591356833,-7.08476002468268,-7.09461065187791
