time,S,I,R,D,labor_S,labor_I,labor_R,consumption_S,consumption_I,consumption_R,aggregate_labor_supply,aggregate_consumption,weekly_new_cases,newly_recovered,newly_dead,newly_infected_per_I,prob_infection_S,infection_growth_rate,Reff,consumption_contacts,labor_contacts,other_contacts,total_cases,aggregate_hours_deviation,aggregate_consumption_deviation
1,0.999999,0.000001,0,0,7.99323622167151,7.77093975991949,7.99323622221364,158.785639131361,132.057614546942,158.78563914213,7.99323599937504,158.785612403336,0.000000475376128482267,0.000000193137254901961,0.00000000294117647058824,0.475376128482268,0.000000475376603858871,0.279297697109718,2.42441825525956,4.29036878826959,7.29322171276321,3.548544,0.000000475376128482267,0,0
2,0.999998524623872,0.00000127929769710972,0.000000193137254901961,0,7.99323622167151,7.77093975991949,7.99323622221364,158.785639131361,132.057614546942,158.78563914213,7.99323591377864,158.785604471244,0.000000608147297329164,0.000000247080045422171,0.00000000376264028561682,0.475375902499578,0.000000608148194576493,0.279297471127029,2.42441710274785,4.29036878826959,7.29322171276321,3.548544,0.00000108352342581143,-0.00000107086051137628,-0.00000499547292420743
3,0.999997916493066,0.00000163658581737965,0.000000440217300324132,0.00000000376264028561682,7.9932362215201,7.77066447794622,7.99323622221364,158.785639128353,132.052936466575,158.78563914213,7.99323580367715,158.785594313521,0.000000777971889713597,0.000000316085692180188,0.00000000481348769817545,0.47536272247502,0.000000777973510626801,0.279284291102471,2.4243498846226,4.29021680384375,7.29296335359429,3.548544,0.00000186149531552503,-0.00000244829375661837,-0.0000113926033717959
4,0.999997138548164,0.00000209363153898695,0.00000075630299250432,0.00000000857612798379227,7.99323622132641,7.77031232689094,7.99323622221364,158.785639124506,132.046952090199,158.78563914213,7.99323566254538,158.785581314765,0.000000995199088849145,0.000000404358248216108,0.00000000615773982054987,0.475345862114158,0.000000995201936571553,0.279267430741609,2.4242638967822,4.29002237964915,7.29263285082692,3.548544,0.00000285669440437417,-0.00000421393369087753,-0.0000195789601087348
5,0.99999614339324,0.00000267827047496855,0.00000116066124072043,0.0000000147338678043421,7.99323622107865,7.76986185254252,7.99323622221364,158.785639119584,132.039296829741,158.78563914213,7.99323548154087,158.785564679102,0.00000127304702331683,0.000000517273807420397,0.00000000787726610284869,0.475324294246935,0.00000127305193297752,0.279245862874386,2.42415390065937,4.28977367071854,7.29221006913555,3.548544,0.000004129741427691,-0.0000064784046238664,-0.000030055767485937
6,0.999994870418487,0.00000342609415470323,0.00000167793504814082,0.0000000226111339071908,7.99323622076174,7.76928561950653,7.99323622221364,158.785639113288,132.029504454236,158.78563914213,7.99323524924024,158.785543386912,0.00000162841126394706,0.000000661706420075036,0.000000010076747513833,0.475296705349335,0.00000162841961705823,0.279218273976786,2.42401319728161,4.28945552984624,7.2916692597012,3.548544,0.00000575815269163807,-0.00000938461969246518,-0.0000434651624359184
7,0.999993242125476,0.00000438260399750968,0.00000233964146821586,0.0000000326878814210239,7.99323622035638,7.76854854798626,7.99323622221364,158.785639105236,132.016978825454,158.78563914213,7.99323495084782,158.785516131416,0.00000208288258127833,0.000000846444105401379,0.0000000128900117573814,0.475261415921194,0.00000208289665723259,0.279182984548645,2.42383322119809,4.28904858931744,7.29097749923796,3.548544,0.0000078410352729164,-0.0000131176812856459,-0.0000606301282624067
8,0.999991159436375,0.00000560595898137316,0.00000318608557361724,0.0000000455778931784053,7.99323621983794,7.76760579077878,7.99323622221364,158.785639094937,132.000957820047,158.78563914213,7.99323456713863,158.785481236981,0.00000266404296655144,0.0000010827195287554,0.0000000164881146510975,0.475216278856698,0.000002664066518401,0.279137847484149,2.42360302216916,4.28852808878807,7.29009269749954,3.548544,0.0000105050782394678,-0.0000179181048998167,-0.0000826059446512595
9,0.99998849570994,0.00000717047777334571,0.00000426880510237264,0.0000000620660078295028,7.99323621917491,7.76640002511205,7.99323622221364,158.785639081766,131.980467307628,158.78563914213,7.99323407303326,158.785436553671,0.00000340711382022035,0.00000138488639347951,0.0000000210896405098403,0.475158549808963,0.00000340715301709694,0.279080118436414,2.42330860402571,4.28786238009581,7.28896105559918,3.548544,0.0000139121920596882,-0.0000240996486100542,-0.000110746599168987
10,0.999985089113895,0.00000917109778371994,0.00000565369149585216,0.0000000831556483393431,7.99323621832705,7.7648580008679,7.99323622221364,158.785639064923,131.954262492053,158.78563914213,7.99323343565585,158.785379320806,0.00000435704844072734,0.00000177128065038513,0.000000026973817010941,0.475084721968808,0.00000435711340914913,0.279006290596259,2.42293208204092,4.28701102151836,7.28751382642872,3.548544,0.0000182692405004155,-0.0000320736081804718,-0.00014679071146384
11,0.999980732912287,0.0000117290449248367,0.00000742497214623728,0.000000110129465350284,7.99323621724298,7.76288614563986,7.99323622221364,158.785639043388,131.920753224745,158.78563914213,7.99323261165633,158.785305989942,0.00000557118275187732,0.00000226531553940473,0.000000034497190955402,0.474990315714466,0.00000557129009441224,0.278911884341917,2.42245061014378,4.28592235130597,7.28566318989306,3.548544,0.0000238404232522929,-0.0000423823182438277,-0.000192973021662102
12,0.999975163114261,0.0000149990302206245,0.00000969028768564201,0.000000144626656305686,7.9932362158571,7.76036497649374,7.99323622221364,158.785639015858,131.87790903941,158.78563914213,7.99323154346986,158.785211994351,0.00000712258364885588,0.00000289687152300297,0.0000000441147947665427,0.474869611174056,0.00000712276055604596,0.278791179801507,2.42183501698768,4.28453040238919,7.28329700820475,3.548544,0.0000309630069011487,-0.0000557459480243772,-0.000252169563097482
13,0.999968042794297,0.0000191783638661166,0.000012587159208645,0.000000188741451072229,7.99323621408577,7.7571420068305,7.99323622221364,158.78563898067,131.823138612842,158.78563914213,7.99323015402074,158.785091447581,0.00000910426292518898,0.00000370405655061271,0.0000000564069525474017,0.474715308810777,0.00000910455388129019,0.278636877438228,2.42104807493496,4.28275098622576,7.28027216879359,3.548544,0.0000400672698263377,-0.0000731287591815288,-0.000328087505774288
14,0.999958942230699,0.0000245184639619155,0.0000162912157592577,0.00000024514840361963,7.99323621182238,7.75302276336804,7.99323622221364,158.785638935708,131.753137109524,158.78563914213,7.99322833911915,158.784936747227,0.0000116344549254282,0.00000473542882401701,0.0000000721131292997515,0.474518099645232,0.000011634932629808,0.278439668272683,2.42004230819068,4.28047673323567,7.27640615351467,3.548544,0.000051701724751766,-0.000095834226521152,-0.000425514691859696
